country,wave,idno,chirps_month,chirps_file,local_target_path,exists,bytes,sha256,read_status,width,height,origin_lon,origin_lat,pixel_width_degree,pixel_height_degree,valid_value_min,valid_value_max,notes
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,2004-04,chirps-v2.0.2004.04.tif.gz,temp/raw_downloads/climate_chirps/africa_monthly/chirps-v2.0.2004.04.tif.gz,1,4493935,7f61ba85a5f3e74ac06b3a2fa15c51bc317c5322cf96497a0ea7b54ff4641523,readable_geotiff,1500,1600,-20.0,40.0,0.05000000074505806,0.05000000074505806,0.000000,739.491821,CHIRPS monthly precipitation in millimeters; -9999 ignored as no-data.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,2004-05,chirps-v2.0.2004.05.tif.gz,temp/raw_downloads/climate_chirps/africa_monthly/chirps-v2.0.2004.05.tif.gz,1,4502408,62649cfa5384e7832f2ce510116ae842eaf88eae8f25a7eb752d976fa29d6984,readable_geotiff,1500,1600,-20.0,40.0,0.05000000074505806,0.05000000074505806,0.000000,594.610657,CHIRPS monthly precipitation in millimeters; -9999 ignored as no-data.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,2004-06,chirps-v2.0.2004.06.tif.gz,temp/raw_downloads/climate_chirps/africa_monthly/chirps-v2.0.2004.06.tif.gz,1,4535136,42e47f325b09bfb7db86a043acf980d9aec39d269ef53c374cc3d39f4af0f124,readable_geotiff,1500,1600,-20.0,40.0,0.05000000074505806,0.05000000074505806,0.000000,716.902222,CHIRPS monthly precipitation in millimeters; -9999 ignored as no-data.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,2004-07,chirps-v2.0.2004.07.tif.gz,temp/raw_downloads/climate_chirps/africa_monthly/chirps-v2.0.2004.07.tif.gz,1,4565168,4771903471fff28d54f075bcbbf44fde195c2d474cbe56e469a67e162fbdfbf9,readable_geotiff,1500,1600,-20.0,40.0,0.05000000074505806,0.05000000074505806,0.000000,1413.066040,CHIRPS monthly precipitation in millimeters; -9999 ignored as no-data.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,2004-08,chirps-v2.0.2004.08.tif.gz,temp/raw_downloads/climate_chirps/africa_monthly/chirps-v2.0.2004.08.tif.gz,1,4551757,19eb7d872a2fa217af6d6c64c6d7dd695d64d404bdcc169a9cd453b4fb4a2136,readable_geotiff,1500,1600,-20.0,40.0,0.05000000074505806,0.05000000074505806,0.000000,1000.000000,CHIRPS monthly precipitation in millimeters; -9999 ignored as no-data.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,2004-09,chirps-v2.0.2004.09.tif.gz,temp/raw_downloads/climate_chirps/africa_monthly/chirps-v2.0.2004.09.tif.gz,1,4542029,63a38cffb3eeba7cbf0d882ef18a2cf027588aae329e964e69c4bc4601d6390b,readable_geotiff,1500,1600,-20.0,40.0,0.05000000074505806,0.05000000074505806,0.000000,772.379089,CHIRPS monthly precipitation in millimeters; -9999 ignored as no-data.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,2004-10,chirps-v2.0.2004.10.tif.gz,temp/raw_downloads/climate_chirps/africa_monthly/chirps-v2.0.2004.10.tif.gz,1,4491065,c38f28cb565b297933108b285341641a629181ce47246769b12bf447987046b7,readable_geotiff,1500,1600,-20.0,40.0,0.05000000074505806,0.05000000074505806,0.000000,888.723206,CHIRPS monthly precipitation in millimeters; -9999 ignored as no-data.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,2004-11,chirps-v2.0.2004.11.tif.gz,temp/raw_downloads/climate_chirps/africa_monthly/chirps-v2.0.2004.11.tif.gz,1,4506045,ad3720feb3e7dca4083e776c74ff835586a3cc5bbf5ea81ef4c57aa00c84e272,readable_geotiff,1500,1600,-20.0,40.0,0.05000000074505806,0.05000000074505806,0.000000,565.999939,CHIRPS monthly precipitation in millimeters; -9999 ignored as no-data.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,2004-12,chirps-v2.0.2004.12.tif.gz,temp/raw_downloads/climate_chirps/africa_monthly/chirps-v2.0.2004.12.tif.gz,1,4530158,2ac8197f1253a253f253d6ed12f1aea30cdce448888d471abc58db470e8ed293,readable_geotiff,1500,1600,-20.0,40.0,0.05000000074505806,0.05000000074505806,0.000000,750.033936,CHIRPS monthly precipitation in millimeters; -9999 ignored as no-data.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,2005-01,chirps-v2.0.2005.01.tif.gz,temp/raw_downloads/climate_chirps/africa_monthly/chirps-v2.0.2005.01.tif.gz,1,4434795,8d1d2ebcfada00142f7289f5774277c2c0364ea06ad084090926c63c2bb0d074,readable_geotiff,1500,1600,-20.0,40.0,0.05000000074505806,0.05000000074505806,0.000000,991.903015,CHIRPS monthly precipitation in millimeters; -9999 ignored as no-data.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,2005-02,chirps-v2.0.2005.02.tif.gz,temp/raw_downloads/climate_chirps/africa_monthly/chirps-v2.0.2005.02.tif.gz,1,4519242,87bbbf878df00d3a832cd785d5693a30eb5cac3d2a6c7864747a66ea9fba3b14,readable_geotiff,1500,1600,-20.0,40.0,0.05000000074505806,0.05000000074505806,0.000000,612.399109,CHIRPS monthly precipitation in millimeters; -9999 ignored as no-data.
