country,wave,idno,adm2_name,chirps_month,source_file,source_sha256,mask_pixel_count,valid_pixel_count,mean_precip_mm,min_precip_mm,max_precip_mm,extraction_status
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Ntcheu,2003-03,chirps-v2.0.2003.03.tif.gz,a5da6aa328febd2fead769bac35fdfa5b18758f4348c21e004b0315ccb2fd882,110,110,254.700211,155.980591,353.681091,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Ntchisi,2003-03,chirps-v2.0.2003.03.tif.gz,a5da6aa328febd2fead769bac35fdfa5b18758f4348c21e004b0315ccb2fd882,58,58,294.451355,205.729370,400.578827,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Phalombe,2003-03,chirps-v2.0.2003.03.tif.gz,a5da6aa328febd2fead769bac35fdfa5b18758f4348c21e004b0315ccb2fd882,49,49,222.238281,174.460449,349.157043,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Rumphi,2003-03,chirps-v2.0.2003.03.tif.gz,a5da6aa328febd2fead769bac35fdfa5b18758f4348c21e004b0315ccb2fd882,155,155,173.267868,83.421402,256.279297,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Salima,2003-03,chirps-v2.0.2003.03.tif.gz,a5da6aa328febd2fead769bac35fdfa5b18758f4348c21e004b0315ccb2fd882,71,71,232.981873,178.102814,375.532288,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Thyolo,2003-03,chirps-v2.0.2003.03.tif.gz,a5da6aa328febd2fead769bac35fdfa5b18758f4348c21e004b0315ccb2fd882,57,57,258.165985,205.964081,350.117249,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Zomba,2003-03,chirps-v2.0.2003.03.tif.gz,a5da6aa328febd2fead769bac35fdfa5b18758f4348c21e004b0315ccb2fd882,106,106,255.174347,157.718658,393.667053,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Balaka,2003-04,chirps-v2.0.2003.04.tif.gz,1216dd8e1a9360c2b42bb20b01400227795bd9e526997ebfc16529009bdab0e8,73,73,6.484370,3.041211,11.870033,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Blantyre,2003-04,chirps-v2.0.2003.04.tif.gz,1216dd8e1a9360c2b42bb20b01400227795bd9e526997ebfc16529009bdab0e8,65,65,15.828702,8.226725,26.381496,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Chikwawa,2003-04,chirps-v2.0.2003.04.tif.gz,1216dd8e1a9360c2b42bb20b01400227795bd9e526997ebfc16529009bdab0e8,168,168,14.872719,5.700199,43.987289,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Chiradzulu,2003-04,chirps-v2.0.2003.04.tif.gz,1216dd8e1a9360c2b42bb20b01400227795bd9e526997ebfc16529009bdab0e8,26,26,18.934456,15.053368,24.666801,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Chitipa,2003-04,chirps-v2.0.2003.04.tif.gz,1216dd8e1a9360c2b42bb20b01400227795bd9e526997ebfc16529009bdab0e8,139,139,119.774155,38.330833,279.870697,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Dedza,2003-04,chirps-v2.0.2003.04.tif.gz,1216dd8e1a9360c2b42bb20b01400227795bd9e526997ebfc16529009bdab0e8,128,128,31.195820,3.388657,56.233139,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Dowa,2003-04,chirps-v2.0.2003.04.tif.gz,1216dd8e1a9360c2b42bb20b01400227795bd9e526997ebfc16529009bdab0e8,101,101,22.795168,11.652806,50.486111,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Karonga,2003-04,chirps-v2.0.2003.04.tif.gz,1216dd8e1a9360c2b42bb20b01400227795bd9e526997ebfc16529009bdab0e8,109,109,151.349731,65.337120,302.870605,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Kasungu,2003-04,chirps-v2.0.2003.04.tif.gz,1216dd8e1a9360c2b42bb20b01400227795bd9e526997ebfc16529009bdab0e8,266,266,20.792065,7.101429,73.894356,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Likoma,2003-04,chirps-v2.0.2003.04.tif.gz,1216dd8e1a9360c2b42bb20b01400227795bd9e526997ebfc16529009bdab0e8,1,1,51.597378,51.597378,51.597378,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Lilongwe,2003-04,chirps-v2.0.2003.04.tif.gz,1216dd8e1a9360c2b42bb20b01400227795bd9e526997ebfc16529009bdab0e8,209,209,35.165291,20.072763,68.868927,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Machinga,2003-04,chirps-v2.0.2003.04.tif.gz,1216dd8e1a9360c2b42bb20b01400227795bd9e526997ebfc16529009bdab0e8,129,129,16.252127,4.832618,42.359726,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Mangochi,2003-04,chirps-v2.0.2003.04.tif.gz,1216dd8e1a9360c2b42bb20b01400227795bd9e526997ebfc16529009bdab0e8,224,224,18.273451,1.679483,68.412498,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Mchinji,2003-04,chirps-v2.0.2003.04.tif.gz,1216dd8e1a9360c2b42bb20b01400227795bd9e526997ebfc16529009bdab0e8,104,104,34.581421,16.584402,50.333069,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Mulanje,2003-04,chirps-v2.0.2003.04.tif.gz,1216dd8e1a9360c2b42bb20b01400227795bd9e526997ebfc16529009bdab0e8,65,65,33.012955,9.512117,71.804359,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Mwanza,2003-04,chirps-v2.0.2003.04.tif.gz,1216dd8e1a9360c2b42bb20b01400227795bd9e526997ebfc16529009bdab0e8,24,24,17.226240,10.786457,24.207844,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Mzimba,2003-04,chirps-v2.0.2003.04.tif.gz,1216dd8e1a9360c2b42bb20b01400227795bd9e526997ebfc16529009bdab0e8,357,357,58.883064,4.553051,218.839386,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Neno,2003-04,chirps-v2.0.2003.04.tif.gz,1216dd8e1a9360c2b42bb20b01400227795bd9e526997ebfc16529009bdab0e8,55,55,14.633882,8.189789,24.536133,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Nkhata Bay,2003-04,chirps-v2.0.2003.04.tif.gz,1216dd8e1a9360c2b42bb20b01400227795bd9e526997ebfc16529009bdab0e8,134,134,202.690598,140.162903,280.391266,pass
