project,dataset_path,variable,dtype,row_count,profile_basis,profile_rows,nonmissing_in_profile,missing_in_profile,unique_in_profile,min,p25,median,p75,max,mean,std,top_value,top_value_count
climate_uhc_ml,data/climate_exposures_nasa_power.csv,diagnostic_severe_low_rain_z_le_m15,int64,384,full_file,384,384,0,1,0,0.0,0.0,0.0,0,0.0,0.0,0,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,diagnostic_extreme_wet_z_ge_15,int64,384,full_file,384,384,0,2,0,0.0,0.0,0.0,1,0.11458333333333333,0.3189339837455637,0,340
climate_uhc_ml,data/climate_exposures_nasa_power.csv,diagnostic_heat_z_ge_1,int64,384,full_file,384,384,0,2,0,0.0,0.0,0.0,1,0.171875,0.377763965429504,0,318
climate_uhc_ml,data/climate_exposures_nasa_power.csv,diagnostic_extreme_heat_z_ge_15,int64,384,full_file,384,384,0,2,0,0.0,0.0,0.0,1,0.07552083333333333,0.26457461712032965,0,355
climate_uhc_ml,data/climate_exposures_nasa_power.csv,diagnostic_combined_climate_stress,int64,384,full_file,384,384,0,2,0,0.0,0.0,0.0,1,0.19010416666666666,0.39289511164614854,0,311
climate_uhc_ml,data/climate_exposures_nasa_power.csv,climate_exposure_scope,object,384,full_file,384,384,0,1,,,,,,,,alb2002_admin2_centroid_nasa_power_fallback_no_historical_baseline,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,data_use_limit,object,384,full_file,384,384,0,1,,,,,,,,climate_exposure_admin2_centroid_only_not_for_final_climate_linkage,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,primary_chirps_ready,int64,384,full_file,384,384,0,1,0,0.0,0.0,0.0,0,0.0,0.0,0,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,primary_era5_ready,int64,384,full_file,384,384,0,1,0,0.0,0.0,0.0,0,0.0,0.0,0,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,historical_baseline_ready,int64,384,full_file,384,384,0,1,0,0.0,0.0,0.0,0,0.0,0.0,0,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,climate_linkage_ready,int64,384,full_file,384,384,0,1,0,0.0,0.0,0.0,0,0.0,0.0,0,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,final_analysis_ready,int64,384,full_file,384,384,0,1,0,0.0,0.0,0.0,0,0.0,0.0,0,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,limited_data_write_ready,int64,384,full_file,384,384,0,1,1,1.0,1.0,1.0,1,1.0,0.0,1,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,promotion_status,object,384,full_file,384,384,0,1,,,,,,,,limited_climate_exposure_promoted_linkage_and_causal_analysis_blocked,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,blocking_reason,object,384,full_file,384,384,0,1,,,,,,,,"NASA POWER daily summaries are promoted only as a limited fallback exposure file at candidate admin2 bounding-box centroids. They are not final climate-linkage inputs because 2001/2002 boundaries, exact GPS, CHIRPS rainfall, ERA5-Land temperature, and historical local anomaly baselines remain unresolved.",384
climate_uhc_ml,data/climate_linked_household.csv,country,object,14396,full_file,14396,14396,0,1,,,,,,,,Albania,14396
climate_uhc_ml,data/climate_linked_household.csv,survey_name,object,14396,full_file,14396,14396,0,1,,,,,,,,Living Standards Measurement Survey 2002,14396
climate_uhc_ml,data/climate_linked_household.csv,wave,int64,14396,full_file,14396,14396,0,1,2002,2002.0,2002.0,2002.0,2002,2002.0,0.0,2002,14396
climate_uhc_ml,data/climate_linked_household.csv,idno,object,14396,full_file,14396,14396,0,1,,,,,,,,ALB_2002_LSMS_v01_M,14396
climate_uhc_ml,data/climate_linked_household.csv,survey_year,int64,14396,full_file,14396,14396,0,1,2002,2002.0,2002.0,2002.0,2002,2002.0,0.0,2002,14396
climate_uhc_ml,data/climate_linked_household.csv,survey_month,float64,14396,full_file,14396,14396,0,4,4.0,4.0,5.0,5.0,7.0,4.92720200055571,0.7407977870825927,5.0,6576
climate_uhc_ml,data/climate_linked_household.csv,interview_date,object,14396,full_file,14396,14396,0,83,,,,,,,,2002-04-25,396
climate_uhc_ml,data/climate_linked_household.csv,hhid,int64,14396,full_file,14396,14396,0,3599,102,11306.0,22601.0,33805.0,45008,22560.69269241456,12987.89481528841,102,4
climate_uhc_ml,data/climate_linked_household.csv,household_weight,float64,14396,full_file,14396,14396,0,17,40.8849983215332,93.40670013427734,177.51669311523438,274.6875,412.2000122070313,201.95913008604822,114.20589358614563,93.40670013427734,2400
climate_uhc_ml,data/climate_linked_household.csv,strata,float64,14396,full_file,14396,14396,0,4,1.0,1.0,2.0,3.0,4.0,2.333425951653237,1.0542609563524725,3.0,4000
climate_uhc_ml,data/climate_linked_household.csv,psu,int64,14396,full_file,14396,14396,0,450,1,113.0,226.0,338.0,450,225.55821061405945,129.8790925761307,450,32
climate_uhc_ml,data/climate_linked_household.csv,admin1,float64,14396,full_file,14396,0,14396,0,,,,,,,,,
climate_uhc_ml,data/climate_linked_household.csv,admin2,object,14396,full_file,14396,14396,0,36,,,,,,,,TIRANE,2752
climate_uhc_ml,data/climate_linked_household.csv,admin2_code,float64,14396,full_file,14396,14396,0,36,1.0,8.0,18.0,34.0,36.0,19.25423728813559,11.827618791404195,34.0,2752
climate_uhc_ml,data/climate_linked_household.csv,district_code,int64,14396,full_file,14396,14396,0,36,1,8.0,18.0,34.0,36,19.25423728813559,11.827618791404195,34,2752
climate_uhc_ml,data/climate_linked_household.csv,district_name,object,14396,full_file,14396,14396,0,36,,,,,,,,TIRANE,2752
climate_uhc_ml,data/climate_linked_household.csv,cluster_id,int64,14396,full_file,14396,14396,0,450,1,113.0,226.0,338.0,450,225.55821061405945,129.8790925761307,450,32
climate_uhc_ml,data/climate_linked_household.csv,geolocation_quality,object,14396,full_file,14396,14396,0,1,,,,,,,,district_admin_candidate_no_gps,14396
climate_uhc_ml,data/climate_linked_household.csv,rural,float64,14396,full_file,14396,14396,0,2,1.0,1.0,1.0,2.0,2.0,1.4556821339260906,0.4980493524206935,1.0,7836
climate_uhc_ml,data/climate_linked_household.csv,household_size,int64,14396,full_file,14396,14396,0,14,1,4.0,4.0,6.0,15,4.590441789385941,1.8231890726407671,4,3968
climate_uhc_ml,data/climate_linked_household.csv,children_under_5,int64,14396,full_file,14396,14396,0,5,0,0.0,0.0,1.0,4,0.38316198944151153,0.6500315789075019,0,10072
climate_uhc_ml,data/climate_linked_household.csv,children_under_15,int64,14396,full_file,14396,14396,0,8,0,0.0,1.0,2.0,7,1.3053626007224228,1.234156305272549,0,5064
climate_uhc_ml,data/climate_linked_household.csv,elderly_60_plus,int64,14396,full_file,14396,14396,0,5,0,0.0,0.0,1.0,4,0.5437621561544873,0.7508443708941395,0,8796
climate_uhc_ml,data/climate_linked_household.csv,elderly_65_plus,int64,14396,full_file,14396,14396,0,4,0,0.0,0.0,1.0,3,0.36621283689913864,0.6293353106504677,0,10296
climate_uhc_ml,data/climate_linked_household.csv,hh_head_sex,float64,14396,full_file,14396,14396,0,2,1.0,1.0,1.0,1.0,2.0,1.1275354265073632,0.33358337978690983,1.0,12560
