model,excluded_state,excluded_state_name,outcome,term,coef,se,t,n_person_years,n_persons,n_states,weighted_mean
paid_sick_leave_low_educ_leave_one,24,Maryland,sick_days,clean_treat,0.8408924034017193,0.7060168082689775,1.191037371282182,119399,68691,51,3.622308086466497
paid_sick_leave_low_educ_leave_one,24,Maryland,sick_any,clean_treat,-0.01805431792789347,0.02303053033862488,-0.7839297516138515,120824,69075,51,0.43451272256813994
paid_sick_leave_low_educ_leave_one,24,Maryland,doctor_any,clean_treat,-0.022807097785916275,0.021571384969425452,-1.0572848158911576,120824,69075,51,0.716488655634501
paid_sick_leave_low_educ_leave_one,24,Maryland,uninsured,clean_treat,0.00933635527572696,0.01674287673600708,0.5576314884794128,120824,69075,51,0.132499286034916
paid_sick_leave_low_educ_leave_one,53,Washington,sick_days,clean_treat,0.370595511650718,0.7351363341002602,0.50411807233592,118186,68047,51,3.612821578994952
paid_sick_leave_low_educ_leave_one,53,Washington,sick_any,clean_treat,-0.014246450947512646,0.023539200534024605,-0.6052223790234589,119598,68424,51,0.43254937570411783
paid_sick_leave_low_educ_leave_one,53,Washington,doctor_any,clean_treat,-0.01597826938630842,0.022083574876906344,-0.7235363601849408,119598,68424,51,0.7160523040907621
paid_sick_leave_low_educ_leave_one,53,Washington,uninsured,clean_treat,0.008541650927623212,0.01706431842352631,0.5005562317594221,119598,68424,51,0.1322836491925308
paid_sick_leave_low_educ_leave_one,34,New Jersey,sick_days,clean_treat,1.2356490741136366,0.6879615576637106,1.7961019192843426,119507,68637,51,3.6292151681933578
paid_sick_leave_low_educ_leave_one,34,New Jersey,sick_any,clean_treat,-0.03133083760315114,0.023915873173082424,-1.3100436424129536,120932,69025,51,0.43696155811718057
paid_sick_leave_low_educ_leave_one,34,New Jersey,doctor_any,clean_treat,0.0009419119367948259,0.022090564195768193,0.042638654605990756,120932,69025,51,0.7169737411899266
paid_sick_leave_low_educ_leave_one,34,New Jersey,uninsured,clean_treat,0.011050052309578062,0.01726055570498075,0.6401909937574854,120932,69025,51,0.13209182352057577
paid_sick_leave_low_educ_leave_one,44,Rhode Island,sick_days,clean_treat,0.676746445409421,0.69140400711227,0.978800293964063,121310,69755,51,3.63073925984288
paid_sick_leave_low_educ_leave_one,44,Rhode Island,sick_any,clean_treat,-0.017994253824721196,0.02218709021886487,-0.811023601888153,122764,70149,51,0.43514140835575416
paid_sick_leave_low_educ_leave_one,44,Rhode Island,doctor_any,clean_treat,-0.01421370936138322,0.020819781299349978,-0.6827021454748419,122764,70149,51,0.7171781538746459
paid_sick_leave_low_educ_leave_one,44,Rhode Island,uninsured,clean_treat,0.012722909404056848,0.015970885000872636,0.796631458016364,122764,70149,51,0.13145081624671376
paid_sick_leave_low_educ_leave_one,08,Colorado,sick_days,clean_treat,0.4520823307917343,0.762869814645411,0.5926074437771094,118688,68394,51,3.631787204621085
paid_sick_leave_low_educ_leave_one,08,Colorado,sick_any,clean_treat,-0.016064351508210173,0.024239111854427314,-0.6627450545501729,120111,68781,51,0.43418564901104584
paid_sick_leave_low_educ_leave_one,08,Colorado,doctor_any,clean_treat,-0.003797830010359382,0.02266306117917352,-0.1675779798824989,120111,68781,51,0.7173384188879216
paid_sick_leave_low_educ_leave_one,08,Colorado,uninsured,clean_treat,-0.006360229362750269,0.01737889274625127,-0.36597437222358187,120111,68781,51,0.1312805571137213
paid_sick_leave_low_educ_leave_one,36,New York,sick_days,clean_treat,0.3998261086985817,0.8810829079631552,0.45378942785631865,116342,66731,51,3.630772133644262
paid_sick_leave_low_educ_leave_one,36,New York,sick_any,clean_treat,-0.0021206320763236253,0.027180593585319227,-0.07802007964495009,117738,67111,51,0.436492438755399
paid_sick_leave_low_educ_leave_one,36,New York,doctor_any,clean_treat,-0.03314449432629085,0.02569868440423526,-1.2897350621119146,117738,67111,51,0.7149144161260055
paid_sick_leave_low_educ_leave_one,36,New York,uninsured,clean_treat,0.013469346132239601,0.01970907817792217,0.683408224912709,117738,67111,51,0.1332302453072472
paid_sick_leave_low_educ_leave_one,35,New Mexico,sick_days,clean_treat,0.751377036868254,0.6928119853590321,1.0845323879304312,120781,69498,51,3.626960063357948
paid_sick_leave_low_educ_leave_one,35,New Mexico,sick_any,clean_treat,-0.018239849405865316,0.022119479021445704,-0.8246057417618682,122231,69890,51,0.4348567201464101
paid_sick_leave_low_educ_leave_one,35,New Mexico,doctor_any,clean_treat,-0.016554270208862576,0.020717901672722527,-0.7990321833923053,122231,69890,51,0.7172623556025487
paid_sick_leave_low_educ_leave_one,35,New Mexico,uninsured,clean_treat,0.01247498999169655,0.016054964648649042,0.7770175932929424,122231,69890,51,0.13116509690328457
