model,outcome,term,coef,state_clustered_se,state_clustered_t,n_person_months,n_persons,n_states,weighted_mean
fpl100_jun_dec_2018,medicaid,ar_target_x_2018_active,-0.16684730344655896,0.031036112949773906,-5.375908501060357,26395,2707,9,0.23875790787223922
fpl100_jun_dec_2018,public,ar_target_x_2018_active,-0.18658308119266973,0.02972677547240377,-6.276600076112534,26395,2707,9,0.26855482034058836
fpl100_jun_dec_2018,uninsured,ar_target_x_2018_active,0.09926752215836064,0.03152945893917103,3.1484055070489765,26395,2707,9,0.42516883259084126
fpl100_jun_dec_2018,any_coverage,ar_target_x_2018_active,-0.09926752215022792,0.03152945893977767,-3.1484055067304593,26395,2707,9,0.5748311674091587
fpl100_jun_dec_2018,private,ar_target_x_2018_active,0.021919250613393317,0.01687412841520851,1.2989856467868102,26395,2707,9,0.3427769832469492
fpl100_jun_dec_2018,employed_any_week,ar_target_x_2018_active,0.20354697388352608,0.03664222902547072,5.554983397490274,26395,2707,9,0.40916446254726824
fpl100_jun_dec_2018,weeks_with_job,ar_target_x_2018_active,0.8241675688494297,0.16408352299069148,5.022853933336043,26395,2707,9,1.7270167256722497
fpl100_jun_dec_2018,earn_pos,ar_target_x_2018_active,0.237790931592235,0.029980950887951347,7.931400591026541,26395,2707,9,0.31029335010407616
fpl100_jun_dec_2018,log_earnings,ar_target_x_2018_active,1.0800000006893606,0.2125451681483933,5.081272889418656,10347,1374,9,5.011971001529809
fpl138_jun_dec_2018,medicaid,ar_target_x_2018_active,-0.08424207546891206,0.03413212018554406,-2.468117275193207,37000,3478,9,0.22813459888217183
fpl138_jun_dec_2018,public,ar_target_x_2018_active,-0.09473640800600625,0.0274056017170442,-3.45682641761109,37000,3478,9,0.2598238642504884
fpl138_jun_dec_2018,uninsured,ar_target_x_2018_active,0.10337345457827452,0.022163873669197445,4.664051786305714,37000,3478,9,0.4148908037692448
fpl138_jun_dec_2018,any_coverage,ar_target_x_2018_active,-0.1033734545846241,0.022163873669125065,-4.664051786607429,37000,3478,9,0.5851091962307552
fpl138_jun_dec_2018,private,ar_target_x_2018_active,-0.04050443981282932,0.02575581309679241,-1.5726329299180108,37000,3478,9,0.3609433722469801
fpl138_jun_dec_2018,employed_any_week,ar_target_x_2018_active,0.12505639234260887,0.033824142739650544,3.69725238286707,37000,3478,9,0.4966406737608966
fpl138_jun_dec_2018,weeks_with_job,ar_target_x_2018_active,0.5585871405651786,0.14222783033834346,3.927410966168609,37000,3478,9,2.1105066362500504
fpl138_jun_dec_2018,earn_pos,ar_target_x_2018_active,0.13118225705502967,0.035233926319761445,3.723180206046303,37000,3478,9,0.42117914583287935
fpl138_jun_dec_2018,log_earnings,ar_target_x_2018_active,-0.21180599655798238,0.18035300630211243,-1.174396817113115,17683,1997,9,5.867299422990908
fpl138_jun2018_mar2019,medicaid,ar_target_x_full_active,-0.10038690133480593,0.017659541479274683,-5.684570092186167,37000,3478,9,0.22813459888217183
fpl138_jun2018_mar2019,public,ar_target_x_full_active,-0.10519822337285778,0.012899654810769661,-8.155119258309913,37000,3478,9,0.2598238642504884
fpl138_jun2018_mar2019,uninsured,ar_target_x_full_active,0.040147914221408024,0.01688794769010863,2.3773116164329955,37000,3478,9,0.4148908037692448
fpl138_jun2018_mar2019,any_coverage,ar_target_x_full_active,-0.04014791423102933,0.01688794769022517,-2.377311616986305,37000,3478,9,0.5851091962307552
fpl138_jun2018_mar2019,private,ar_target_x_full_active,0.014235249182780178,0.01607853222570704,0.8853575054581324,37000,3478,9,0.3609433722469801
fpl138_jun2018_mar2019,employed_any_week,ar_target_x_full_active,0.13731913126791406,0.031105250334012985,4.4146608625026325,37000,3478,9,0.4966406737608966
fpl138_jun2018_mar2019,weeks_with_job,ar_target_x_full_active,0.6278498777386039,0.13067412486948116,4.804699311097034,37000,3478,9,2.1105066362500504
fpl138_jun2018_mar2019,earn_pos,ar_target_x_full_active,0.11710177005447352,0.02647813274658724,4.422584144252647,37000,3478,9,0.42117914583287935
fpl138_jun2018_mar2019,log_earnings,ar_target_x_full_active,-0.11819423809690943,0.08421535251557781,-1.4034761426076836,17683,1997,9,5.867299422990908
baseline_medicaid_2018_jun_dec,medicaid,ar_target_x_2018_active,-0.030411539347789285,0.017985774140159578,-1.6908662985978906,2924,295,9,0.9933300633805162
baseline_medicaid_2018_jun_dec,public,ar_target_x_2018_active,-0.030411539347789285,0.017985774140159578,-1.6908662985978906,2924,295,9,0.9933300633805162
baseline_medicaid_2018_jun_dec,uninsured,ar_target_x_2018_active,0.030411539346504528,0.017985774140206332,1.6908662985220633,2924,295,9,0.006669936619483838
baseline_medicaid_2018_jun_dec,any_coverage,ar_target_x_2018_active,-0.030411539347789285,0.017985774140159578,-1.6908662985978906,2924,295,9,0.9933300633805162
baseline_medicaid_2018_jun_dec,private,ar_target_x_2018_active,-0.034266064595271206,0.02759050677691757,-1.241951257812287,2924,295,9,0.127998753492326
baseline_medicaid_2018_jun_dec,employed_any_week,ar_target_x_2018_active,-0.013882358161349528,0.042129293701864697,-0.329517942066403,2924,295,9,0.37690533829535394
baseline_medicaid_2018_jun_dec,weeks_with_job,ar_target_x_2018_active,-0.1514161629304489,0.17721684890496073,-0.8544117778081676,2924,295,9,1.6063098027247935
baseline_medicaid_2018_jun_dec,earn_pos,ar_target_x_2018_active,0.002172190198597046,0.04414283070401194,0.049208221673913304,2924,295,9,0.34518259227851744
baseline_medicaid_2018_jun_dec,log_earnings,ar_target_x_2018_active,0.05152170789046961,0.3186851486656313,0.16166962315688851,1026,129,9,6.247526442912271
