model,outcome,coef,state_clustered_se,state_clustered_t,n_person_years,n_persons,n_states,n_clusters,weighted_mean
ui_food_balanced_target_ui,food_insecure,-0.06841028744154931,0.06858063853776068,-0.9975160468049947,4516,2218,51,51,0.15921040532485964
ui_food_balanced_target_ui,very_low_food,0.06786528001001402,0.050544835028596635,1.342674874131413,4516,2218,51,51,0.05212459640225787
ui_food_balanced_target_ui,food_score,-0.014975500167145661,0.27944210215879406,-0.05359070824136506,4516,2218,51,51,0.6295507556216722
ui_food_balanced_target_ui,snap_any,0.10862544031883115,0.09883351962279209,1.0990748961831056,4516,2218,51,51,0.1794731708457505
ui_food_balanced_target_ui,snap_share,0.04674915458448092,0.1056228286311249,0.4426046451354447,4516,2218,51,51,0.1491209866855607
ui_food_balanced_target_ui,ui_any,0.04426907637146371,0.10448166258372214,0.4237018753026684,4516,2218,51,51,0.08876693573612832
ui_food_balanced_target_ui,ui_share,-0.047808610194629786,0.1358785357201797,-0.3518481409976631,4516,2218,51,51,0.043393036251089215
ui_food_balanced_target_ui,employed_share,0.07377048440706968,0.09965204170784335,0.7402807121940121,4516,2218,51,51,0.67163436820255
ui_food_balanced_target_ui,log_earnings,0.582441946329439,0.7331010175075166,0.7944907078559159,4516,2218,51,51,6.913203265731623
ui_food_balanced_target_ui,any_coverage,0.074496264420997,0.04699292398165754,1.5852655699839973,4516,2218,51,51,0.8081652989797851
ui_food_balanced_target_ui,uninsured,-0.07449626442122637,0.04699292398158989,-1.5852655699911602,4516,2218,51,51,0.19183470102021494
ui_food_balanced_target_ui,public,0.07593573584632551,0.05802797805049988,1.308605579540288,4516,2218,51,51,0.3545080804713723
ui_food_balanced_target_ui,private,-0.12219139745901408,0.0730120666976166,-1.6735781218887602,4516,2218,51,51,0.5235457121960899
ui_food_balanced_target_ui,doctor_any,0.21792510931012643,0.08618936171227086,2.5284455642870856,4516,2218,51,51,0.670121773548309
ui_food_balanced_target_ui,oop_any,0.1835632093555084,0.11772403949888664,1.5592669953976939,4516,2218,51,51,0.5015962207050262
ui_food_balanced_target_ui,sick_days,4.014570096977835,8.631132103649493,0.4651267120891775,4431,2217,51,51,8.888202118039025
ui_food_balanced_target_broad,food_insecure,-0.07278910769101432,0.0341262806332811,-2.132934100648165,4516,2218,51,51,0.15921040532485964
ui_food_balanced_target_broad,very_low_food,-0.007722492409775128,0.027070524741479876,-0.28527309623747465,4516,2218,51,51,0.05212459640225787
ui_food_balanced_target_broad,food_score,-0.21544817874590816,0.1249913159304358,-1.7237051801728076,4516,2218,51,51,0.6295507556216722
ui_food_balanced_target_broad,snap_any,0.07179571320479305,0.031074829636011332,2.310413735031132,4516,2218,51,51,0.1794731708457505
ui_food_balanced_target_broad,snap_share,0.08639613020860004,0.029168484227796432,2.961968456566827,4516,2218,51,51,0.1491209866855607
ui_food_balanced_target_broad,ui_any,-0.06653254392336361,0.04483642804190227,-1.4838948334864017,4516,2218,51,51,0.08876693573612832
ui_food_balanced_target_broad,ui_share,-0.03556950965357192,0.031714971873505575,-1.1215368500227614,4516,2218,51,51,0.043393036251089215
ui_food_balanced_target_broad,employed_share,-0.003642051612153807,0.029569233835886947,-0.1231703070958031,4516,2218,51,51,0.67163436820255
ui_food_balanced_target_broad,log_earnings,-0.30750948755938623,0.32511166442359873,-0.9458580580447029,4516,2218,51,51,6.913203265731623
ui_food_balanced_target_broad,any_coverage,0.011476498429038529,0.029642509518867398,0.38716352344371385,4516,2218,51,51,0.8081652989797851
ui_food_balanced_target_broad,uninsured,-0.011476498428765192,0.029642509518868942,-0.3871635234344726,4516,2218,51,51,0.19183470102021494
ui_food_balanced_target_broad,public,0.032602014174019533,0.03128065316603078,1.042242116907702,4516,2218,51,51,0.3545080804713723
ui_food_balanced_target_broad,private,0.03585816090878913,0.0422258581345998,0.849199104361292,4516,2218,51,51,0.5235457121960899
ui_food_balanced_target_broad,doctor_any,-0.034588908831795884,0.05302055586139868,-0.6523679027850054,4516,2218,51,51,0.670121773548309
ui_food_balanced_target_broad,oop_any,0.1221319268392489,0.060762925460253824,2.0099744361245033,4516,2218,51,51,0.5015962207050262
ui_food_balanced_target_broad,sick_days,7.058660940770579,5.574640772433792,1.2662091117467449,4431,2217,51,51,8.888202118039025
ui_food_unbalanced_target_ui,food_insecure,-0.01979850163036856,0.060680277078666904,-0.32627572884516426,10386,7943,52,52,0.1646258781730098
ui_food_unbalanced_target_ui,very_low_food,0.07717217751130456,0.04931778036212596,1.5647942171089606,10386,7943,52,52,0.05801969996526443
ui_food_unbalanced_target_ui,food_score,0.20774639883290824,0.25506203341166317,0.8144936196662842,10386,7943,52,52,0.6608620152104586
ui_food_unbalanced_target_ui,snap_any,0.02738222277726443,0.07086067229540814,0.3864234121730007,10386,7943,52,52,0.16394986228213818
ui_food_unbalanced_target_ui,snap_share,0.003796170024195966,0.054347927391729056,0.0698493982453816,10386,7943,52,52,0.13685442852972743
ui_food_unbalanced_target_ui,ui_any,0.07459608301167542,0.10572684720583202,0.7055547855924394,10386,7943,52,52,0.07619336400488118
ui_food_unbalanced_target_ui,ui_share,-0.022081604653999776,0.11036222543008889,-0.2000829954991058,10386,7943,52,52,0.03793526688129449
ui_food_unbalanced_target_ui,employed_share,0.08338264579832355,0.07293383082823456,1.1432643102855362,10386,7943,52,52,0.6710853092854843
ui_food_unbalanced_target_ui,log_earnings,0.2981366877902616,0.7855346442375216,0.3795334680364704,10386,7943,52,52,6.845090088476742
ui_food_unbalanced_target_ui,any_coverage,-0.0022804553688580143,0.06054680614243816,-0.03766433795852378,10386,7943,52,52,0.7947542715577387
ui_food_unbalanced_target_ui,uninsured,0.0022804553664785843,0.06054680614249845,0.03766433791918725,10386,7943,52,52,0.2052457284422613
ui_food_unbalanced_target_ui,public,0.052233738678158836,0.058660691446752594,0.8904385098421892,10386,7943,52,52,0.31738656922431635
ui_food_unbalanced_target_ui,private,-0.09494048010630785,0.08368196714611248,-1.1345392961489242,10386,7943,52,52,0.5371981793415092
ui_food_unbalanced_target_ui,doctor_any,0.19008135127376846,0.07744503066920584,2.4544034605095684,10386,7943,52,52,0.66755994391916
ui_food_unbalanced_target_ui,oop_any,0.16686663962275539,0.08947203605511347,1.8650144445127856,10386,7943,52,52,0.5091169668495714
ui_food_unbalanced_target_ui,sick_days,0.829700262288668,9.171416556273577,0.09046587920173829,10258,7899,52,52,8.30153687979353
