sample,period,bin_left,bin_mid,person_months,persons,uninsured,market_or_subsidy,source_employer_related,direct_purchase
lag_current_employer,post_2021_2023,3.0,3.0250000953674316,2150,823,0.004522868481265992,0.02773168441232896,0.9944070081025002,0.02773168441232896
lag_current_employer,post_2021_2023,3.049999952316284,3.075000047683716,1968,802,0.006160259464038794,0.02141527222966384,0.9897514794479838,0.021060428125734606
lag_current_employer,post_2021_2023,3.0999999046325684,3.125,2094,841,0.002401592976194504,0.018015806003665043,0.9955888760789116,0.018015806003665043
lag_current_employer,post_2021_2023,3.1500000953674316,3.1750001907348633,2037,841,0.00560031832959024,0.02906229036365887,0.9906255338970191,0.02906229036365887
lag_current_employer,post_2021_2023,3.200000047683716,3.2250001430511475,1938,847,0.003269823369495427,0.032665800983424205,0.9949661451867104,0.029869028786879772
lag_current_employer,post_2021_2023,3.25,3.2750000953674316,2144,871,0.00681310871572484,0.04290075941255627,0.9823572798393628,0.04036596530781296
lag_current_employer,post_2021_2023,3.299999952316284,3.325000047683716,1999,882,0.00016398691702845932,0.035006611964394654,0.9965354654899289,0.033204184357194265
lag_current_employer,post_2021_2023,3.3499999046325684,3.375,2087,882,0.006389471123845868,0.018100968878379833,0.9932852829655672,0.018100968878379833
lag_current_employer,post_2021_2023,3.4000000953674316,3.4250001907348633,2178,932,0.0022304820051990627,0.011218264400454944,0.9941034173711617,0.010333868231260757
lag_current_employer,post_2021_2023,3.450000047683716,3.4750001430511475,2099,944,0.006799648289891487,0.014601657991558036,0.9914853966597559,0.0110638359069406
lag_current_employer,post_2021_2023,3.5,3.5250000953674316,2319,985,0.002356750894192477,0.013519683588307416,0.9970449699709606,0.013302482474828963
lag_current_employer,post_2021_2023,3.549999952316284,3.575000047683716,2278,973,0.003495659996922602,0.01928168414518215,0.991608191170518,0.018846685007394094
lag_current_employer,post_2021_2023,3.5999999046325684,3.625,2268,1008,0.0042579509483914296,0.013193645317021234,0.9951545695481206,0.01296234857294693
lag_current_employer,post_2021_2023,3.6500000953674316,3.6750001907348633,2138,939,0.0035556382458788644,0.020738453094527057,0.9940592013582942,0.019157978983673725
lag_current_employer,post_2021_2023,3.700000047683716,3.7250001430511475,2049,952,0.0033360652871686903,0.024315418561643348,0.9881563432710927,0.02299973679916039
lag_current_employer,post_2021_2023,3.75,3.7750000953674316,2374,1030,0.0016860548626678714,0.015235473171171202,0.9950749951473556,0.014479662311975755
lag_current_employer,post_2021_2023,3.799999952316284,3.825000047683716,2144,980,0.00325471148479646,0.015550749953726493,0.9935392632786096,0.015114529384123023
lag_current_employer,post_2021_2023,3.8499999046325684,3.875,1966,922,0.006995417617161936,0.01963155983165104,0.991356891990761,0.019164543773690045
lag_current_employer,post_2021_2023,3.9000000953674316,3.9250001907348633,2133,921,0.0047143224799502444,0.007984517589629331,0.9932671205207164,0.007570411046577786
lag_current_employer,post_2021_2023,3.950000047683716,3.9750001430511475,1956,895,0.0030760101723229277,0.018220144348850206,0.9918689646002107,0.018220144348850206
lag_current_employer,post_2021_2023,4.0,4.025000095367432,2174,968,0.0012752318458098286,0.021309859213178368,0.9917701573807159,0.021309859213178368
lag_current_employer,post_2021_2023,4.050000190734863,4.075000286102295,2178,978,0.004566783729343118,0.031390629512452056,0.9918915265688206,0.031390629512452056
lag_current_employer,post_2021_2023,4.099999904632568,4.125,1982,948,0.0026132407955891898,0.028628284751927163,0.9933449059759434,0.028628284751927163
lag_current_employer,post_2021_2023,4.150000095367432,4.175000190734863,2100,978,0.0010693450450245362,0.032414921890005007,0.995100988728636,0.032414921890005007
lag_current_employer,post_2021_2023,4.199999809265137,4.224999904632568,1998,956,0.00013448123453656756,0.02592644935547283,0.9943278462199925,0.02592644935547283
lag_current_employer,post_2021_2023,4.25,4.275000095367432,2041,960,0.002319942375353365,0.014078876184320311,0.9939805314190312,0.014078876184320311
lag_current_employer,post_2021_2023,4.300000190734863,4.325000286102295,2045,944,0.0,0.009859147078575452,0.9989921170774028,0.009859147078575452
