model,outcome,term,coef,se,t,n_person_years,n_persons,n_states,weighted_mean
mandate_138_600,uninsured,mandate_active,-0.006703896277590549,0.007800622193812082,-0.8594053283222046,87692,53329,48,0.13437817136164504
mandate_138_600,uninsured,mandate_active_x_healthy,0.012351345299690982,0.008705744829300217,1.4187580203500871,87692,53329,48,0.13437817136164504
mandate_138_600,any_coverage,mandate_active,0.006703896277475252,0.007800622193812171,0.8594053283074143,87692,53329,48,0.8656218286383549
mandate_138_600,any_coverage,mandate_active_x_healthy,-0.012351345299144986,0.008705744829300264,-1.4187580202873626,87692,53329,48,0.8656218286383549
mandate_138_600,direct_market,mandate_active,0.013801262344430187,0.009723062323553501,1.4194357585261492,87692,53329,48,0.13047016504213413
mandate_138_600,direct_market,mandate_active_x_healthy,-0.008756534934341378,0.010934298237980299,-0.8008319092601245,87692,53329,48,0.13047016504213413
mandate_138_600,exchange_subsidy,mandate_active,0.010596920594356518,0.008876594774776302,1.1938047036312491,87692,53329,48,0.10318464637862657
mandate_138_600,exchange_subsidy,mandate_active_x_healthy,0.006436874983159699,0.01021024411071436,0.6304330154462235,87692,53329,48,0.10318464637862657
mandate_138_600,private,mandate_active,0.0032090130981403675,0.011227709384681072,0.28581191302641834,87692,53329,48,0.7324566888539886
mandate_138_600,private,mandate_active_x_healthy,-0.0009009338340401872,0.012276746117328456,-0.07338539263009859,87692,53329,48,0.7324566888539886
mandate_138_600,oop_any,mandate_active,0.008033499533601107,0.012605801246758816,0.6372859111725776,87692,53329,48,0.6121350145038953
mandate_138_600,oop_any,mandate_active_x_healthy,0.0342081647281955,0.014035074151681811,2.437334093036934,87692,53329,48,0.6121350145038953
mandate_138_600,doctor_any,mandate_active,-0.02392960948978695,0.011351213108385579,-2.1081103192494224,87692,53329,48,0.7321515813186042
mandate_138_600,doctor_any,mandate_active_x_healthy,-0.010673823815172376,0.013090229604643174,-0.8154038651381879,87692,53329,48,0.7321515813186042
mandate_138_400,uninsured,mandate_active,0.0016851169723505754,0.01032112590104625,0.1632687158849361,57814,38338,48,0.16606079130271525
mandate_138_400,uninsured,mandate_active_x_healthy,0.0063340929797413865,0.01180737517115533,0.5364522502185901,57814,38338,48,0.16606079130271525
mandate_138_400,any_coverage,mandate_active,-0.001685116971853473,0.010321125901046292,-0.16326871583677188,57814,38338,48,0.8339392086972847
mandate_138_400,any_coverage,mandate_active_x_healthy,-0.006334092979676803,0.011807375171155723,-0.5364522502131024,57814,38338,48,0.8339392086972847
mandate_138_400,direct_market,mandate_active,0.014506081376735147,0.012367300448441958,1.1729383819217098,57814,38338,48,0.15475303947919192
mandate_138_400,direct_market,mandate_active_x_healthy,-0.017474448309890544,0.014138725482828253,-1.2359281132598259,57814,38338,48,0.15475303947919192
mandate_138_400,exchange_subsidy,mandate_active,0.012448293528930843,0.011483497021574035,1.0840159147987973,57814,38338,48,0.12825094622480576
mandate_138_400,exchange_subsidy,mandate_active_x_healthy,0.0016445780877445402,0.01343669281799417,0.12239455869245977,57814,38338,48,0.12825094622480576
mandate_138_400,private,mandate_active,-0.001900993085475866,0.014540688833507282,-0.1307361093578493,57814,38338,48,0.6584875129643329
mandate_138_400,private,mandate_active_x_healthy,0.013582340307565229,0.01620244094059372,0.8382897587693672,57814,38338,48,0.6584875129643329
mandate_138_400,oop_any,mandate_active,0.007228588919349077,0.015405700262857452,0.46921521229235685,57814,38338,48,0.5827061545834425
mandate_138_400,oop_any,mandate_active_x_healthy,0.04460100921399822,0.017617336629117644,2.5316544806371244,57814,38338,48,0.5827061545834425
mandate_138_400,doctor_any,mandate_active,-0.023560797800984412,0.013877017909050018,-1.6978285936792683,57814,38338,48,0.7105915235539536
mandate_138_400,doctor_any,mandate_active_x_healthy,-0.005294401771037715,0.01643153702753375,-0.322209770282967,57814,38338,48,0.7105915235539536
