model,excluded_treated_state,excluded_treated_state_name,outcome,term,coef,se,t,n_person_years,n_persons,n_states,weighted_mean
mandate_138_600_leave_one,06,California,uninsured,mandate_active,-0.025709418629119685,0.019630517458616593,-1.3096658650653565,75875,46007,47,0.13499713386329945
mandate_138_600_leave_one,06,California,uninsured,mandate_active_x_healthy,0.013187513743093071,0.019091326772242585,0.6907594165884148,75875,46007,47,0.13499713386329945
mandate_138_600_leave_one,06,California,any_coverage,mandate_active,0.025709418629393355,0.019630517458617436,1.3096658650792414,75875,46007,47,0.8650028661367005
mandate_138_600_leave_one,06,California,any_coverage,mandate_active_x_healthy,-0.013187513742703216,0.019091326772242793,-0.6907594165679867,75875,46007,47,0.8650028661367005
mandate_138_600_leave_one,06,California,direct_market,mandate_active,-0.01228021678821517,0.024728462098893605,-0.49660252785249465,75875,46007,47,0.12202708069528223
mandate_138_600_leave_one,06,California,direct_market,mandate_active_x_healthy,0.005362906350598634,0.02496786906336364,0.21479231315210004,75875,46007,47,0.12202708069528223
mandate_138_600_leave_one,06,California,exchange_subsidy,mandate_active,-0.004728018867984268,0.021228620573688472,-0.2227190811372995,75875,46007,47,0.09544913889283252
mandate_138_600_leave_one,06,California,exchange_subsidy,mandate_active_x_healthy,0.026915605974292822,0.02281078706649439,1.1799507792446056,75875,46007,47,0.09544913889283252
mandate_138_600_leave_one,34,New Jersey,uninsured,mandate_active,-0.005003389692695287,0.008149213405841332,-0.6139721030141231,86240,52409,47,0.13510311174655157
mandate_138_600_leave_one,34,New Jersey,uninsured,mandate_active_x_healthy,0.013784917900951186,0.009279250650470397,1.4855636969190373,86240,52409,47,0.13510311174655157
mandate_138_600_leave_one,34,New Jersey,any_coverage,mandate_active,0.0050033896942720535,0.008149213405838098,0.6139721032078537,86240,52409,47,0.8648968882534486
mandate_138_600_leave_one,34,New Jersey,any_coverage,mandate_active_x_healthy,-0.013784917905338407,0.009279250650464917,-1.4855636973927138,86240,52409,47,0.8648968882534486
mandate_138_600_leave_one,34,New Jersey,direct_market,mandate_active,0.016715877800622836,0.0103060091711168,1.6219544852987393,86240,52409,47,0.12999996349854698
mandate_138_600_leave_one,34,New Jersey,direct_market,mandate_active_x_healthy,-0.013222464964709631,0.011694046539714979,-1.1307005594516732,86240,52409,47,0.12999996349854698
mandate_138_600_leave_one,34,New Jersey,exchange_subsidy,mandate_active,0.013839140001666805,0.009539339765882619,1.4507440075845073,86240,52409,47,0.10295499379847858
mandate_138_600_leave_one,34,New Jersey,exchange_subsidy,mandate_active_x_healthy,-5.7560053507362615e-05,0.011026695413095016,-0.005220063795269596,86240,52409,47,0.10295499379847858
mandate_138_600_leave_one,44,Rhode Island,uninsured,mandate_active,-0.005248220663937736,0.007911326896671416,-0.663380584885938,87448,53187,47,0.13465109277503615
mandate_138_600_leave_one,44,Rhode Island,uninsured,mandate_active_x_healthy,0.012064279689080436,0.008875040438177124,1.3593492641660978,87448,53187,47,0.13465109277503615
mandate_138_600_leave_one,44,Rhode Island,any_coverage,mandate_active,0.005248220664051617,0.007911326896671329,0.6633805849003399,87448,53187,47,0.8653489072249639
mandate_138_600_leave_one,44,Rhode Island,any_coverage,mandate_active_x_healthy,-0.012064279688683281,0.008875040438177004,-1.3593492641213665,87448,53187,47,0.8653489072249639
mandate_138_600_leave_one,44,Rhode Island,direct_market,mandate_active,0.016553853951746078,0.009762636029987594,1.6956336281408122,87448,53187,47,0.13014587184598106
mandate_138_600_leave_one,44,Rhode Island,direct_market,mandate_active_x_healthy,-0.009268407231324355,0.011053444467345578,-0.8385085082487513,87448,53187,47,0.13014587184598106
mandate_138_600_leave_one,44,Rhode Island,exchange_subsidy,mandate_active,0.011496695939291118,0.008931403017837933,1.2872217182820822,87448,53187,47,0.10293831345101487
mandate_138_600_leave_one,44,Rhode Island,exchange_subsidy,mandate_active_x_healthy,0.005781221993623197,0.010316589012244649,0.5603811479512779,87448,53187,47,0.10293831345101487
sbm_138_600_leave_one,21,Kentucky,uninsured,sbm_active,0.031738884620313164,0.012503912080229518,2.5383163618446183,61322,37209,37,0.14302541752130893
sbm_138_600_leave_one,21,Kentucky,uninsured,sbm_active_x_subsidy_income,-0.04235944234713674,0.0157217760854773,-2.694316603724276,61322,37209,37,0.14302541752130893
sbm_138_600_leave_one,21,Kentucky,any_coverage,sbm_active,-0.031738884619397834,0.012503912080231425,-2.538316361771028,61322,37209,37,0.856974582478691
sbm_138_600_leave_one,21,Kentucky,any_coverage,sbm_active_x_subsidy_income,0.042359442346336096,0.015721776085478832,2.6943166036730877,61322,37209,37,0.856974582478691
sbm_138_600_leave_one,21,Kentucky,direct_market,sbm_active,-0.017450774778922394,0.01330316059057477,-1.3117766007640463,61322,37209,37,0.10836423841315215
sbm_138_600_leave_one,21,Kentucky,direct_market,sbm_active_x_subsidy_income,0.01068164618378948,0.01763259496143745,0.6057898004888265,61322,37209,37,0.10836423841315215
sbm_138_600_leave_one,21,Kentucky,exchange_subsidy,sbm_active,-0.011094568284598046,0.011548362625384178,-0.960704876049817,61322,37209,37,0.08143664644408512
sbm_138_600_leave_one,21,Kentucky,exchange_subsidy,sbm_active_x_subsidy_income,0.0073454992071993325,0.01593070032561325,0.46109079055296137,61322,37209,37,0.08143664644408512
sbm_138_600_leave_one,23,Maine,uninsured,sbm_active,0.032543889539573975,0.012171567085350724,2.67376331341448,62409,37867,37,0.1422410038122232
sbm_138_600_leave_one,23,Maine,uninsured,sbm_active_x_subsidy_income,-0.044196536631413146,0.015006817476467314,-2.945097233355386,62409,37867,37,0.1422410038122232
sbm_138_600_leave_one,23,Maine,any_coverage,sbm_active,-0.03254388954015719,0.012171567085350074,-2.6737633134625387,62409,37867,37,0.8577589961877768
sbm_138_600_leave_one,23,Maine,any_coverage,sbm_active_x_subsidy_income,0.04419653663162704,0.015006817476466828,2.9450972333697347,62409,37867,37,0.8577589961877768
sbm_138_600_leave_one,23,Maine,direct_market,sbm_active,-0.023532947633306843,0.012574825615565575,-1.8714333186598553,62409,37867,37,0.10878365286735782
sbm_138_600_leave_one,23,Maine,direct_market,sbm_active_x_subsidy_income,0.018277271122731746,0.01664532096745439,1.0980425765575932,62409,37867,37,0.10878365286735782
