spec,label,outcome,term,coef,se_hc1,t_hc1,se_state_cluster,t_state_cluster,se_person_cluster,t_person_cluster,n,persons,states,state_clusters,person_clusters,weighted_mean
monthly_000_200_postjul_low100,"monthly FPL 0-200%, target <=100%, post July 2023",medicaid,georgia_x_post_x_target_low100,-0.04553685567281262,0.03336738694311439,-1.3647114696288642,0.030565303402081242,-1.489821811149172,0.06747700860710945,-0.6748499468604897,36376,3267,10,10,3267,0.25073293957170756
monthly_000_200_postjul_low100,"monthly FPL 0-200%, target <=100%, post July 2023",uninsured,georgia_x_post_x_target_low100,-0.03267163160781121,0.04221084606127487,-0.7740103470180111,0.03974306724038109,-0.8220712158475549,0.07908035069914883,-0.4131447485875005,36376,3267,10,10,3267,0.3415440876934305
monthly_000_200_postjul_low100,"monthly FPL 0-200%, target <=100%, post July 2023",any_coverage,georgia_x_post_x_target_low100,0.032671631587621805,0.04221084606132691,0.7740103465387579,0.03974306723985491,0.8220712153504406,0.07908035069993057,0.413144748328114,36376,3267,10,10,3267,0.6584559123065695
monthly_000_200_postjul_low100,"monthly FPL 0-200%, target <=100%, post July 2023",public,georgia_x_post_x_target_low100,-0.03312933957132806,0.03363735508744776,-0.9848972811685403,0.04015326557803926,-0.8250721104349543,0.06792956289959529,-0.48770135059304853,36376,3267,10,10,3267,0.2619300379728725
monthly_000_200_postjul_low100,"monthly FPL 0-200%, target <=100%, post July 2023",private,georgia_x_post_x_target_low100,0.033929794578822024,0.04081205266683158,0.8313670193412535,0.025710244677622743,1.3196994040415833,0.07454975811699142,0.45512950592778284,36376,3267,10,10,3267,0.43671913730595757
monthly_000_200_postjul_low100,"monthly FPL 0-200%, target <=100%, post July 2023",direct_purchase,georgia_x_post_x_target_low100,-0.015008329175252048,0.03483308764604144,-0.43086416362971053,0.013662993577465848,-1.0984656539694961,0.061166019763960605,-0.2453703744851982,36376,3267,10,10,3267,0.19569469611889112
monthly_000_200_postjul_low100,"monthly FPL 0-200%, target <=100%, post July 2023",marketplace_flag,georgia_x_post_x_target_low100,-0.024120514096030245,0.0316172581684586,-0.7628907594553184,0.011120440334995806,-2.1690250897820533,0.055549111612126126,-0.434219619288472,36376,3267,10,10,3267,0.16154875675649888
monthly_000_200_postjul_low100,"monthly FPL 0-200%, target <=100%, post July 2023",market_or_subsidy,georgia_x_post_x_target_low100,-0.01714969288055066,0.03485079781498518,-0.4920889608207655,0.015665957132009155,-1.0947108265418328,0.06127001395334234,-0.2799035249708006,36376,3267,10,10,3267,0.19841648878262866
monthly_000_200_postjul_low100,"monthly FPL 0-200%, target <=100%, post July 2023",snap_month,georgia_x_post_x_target_low100,-0.10422096813792159,0.03291140800250106,-3.1667125311077986,0.013899172083218992,-7.498357996714898,0.05815442006544761,-1.7921418186378644,36376,3267,10,10,3267,0.18966293744292642
monthly_000_200_postjul_low100,"monthly FPL 0-200%, target <=100%, post July 2023",work_activity_proxy,georgia_x_post_x_target_low100,-1.090247876822922e-11,1.804348614698486e-12,-6.042334989710992,1.1308559393197135e-11,-0.964090861545795,4.441189138686327e-12,-2.4548557667269484,36376,3267,10,10,3267,0.5450694697192544
monthly_000_200_postsep_low100,"monthly FPL 0-200%, target <=100%, post September 2023",medicaid,georgia_x_post_x_target_low100,-0.045577055543642074,0.03896998344584635,-1.1695425944169844,0.02711312619538045,-1.6809959580170994,0.06301237456167866,-0.7233032536970925,36376,3267,10,10,3267,0.25073293957170756
monthly_000_200_postsep_low100,"monthly FPL 0-200%, target <=100%, post September 2023",uninsured,georgia_x_post_x_target_low100,-0.06757403291738436,0.04947100534669045,-1.3659320736222913,0.04237078657700975,-1.5948260199174542,0.07518171955898632,-0.8988093557020453,36376,3267,10,10,3267,0.3415440876934305
monthly_000_200_postsep_low100,"monthly FPL 0-200%, target <=100%, post September 2023",any_coverage,georgia_x_post_x_target_low100,0.06757403275541846,0.04947100534595605,1.3659320703686129,0.042370786572284956,1.5948260162727101,0.07518171955884487,0.8988093535494109,36376,3267,10,10,3267,0.6584559123065695
monthly_000_200_postsep_low100,"monthly FPL 0-200%, target <=100%, post September 2023",public,georgia_x_post_x_target_low100,-0.0352408072157474,0.03926458235160957,-0.8975215093381167,0.03470547862784811,-1.0154249014583459,0.063488198138679,-0.5550765063259465,36376,3267,10,10,3267,0.2619300379728725
monthly_000_200_postsep_low100,"monthly FPL 0-200%, target <=100%, post September 2023",private,georgia_x_post_x_target_low100,0.07111579874482203,0.0474404150182402,1.4990551561886414,0.029248185559394277,2.431460187518546,0.07103482668535611,1.001139892405518,36376,3267,10,10,3267,0.43671913730595757
monthly_000_200_postsep_low100,"monthly FPL 0-200%, target <=100%, post September 2023",direct_purchase,georgia_x_post_x_target_low100,-0.004125768894611153,0.04037326494482352,-0.10219061798072739,0.017513092696901343,-0.2355819709297342,0.057870797022054395,-0.07129276089007093,36376,3267,10,10,3267,0.19569469611889112
monthly_000_200_postsep_low100,"monthly FPL 0-200%, target <=100%, post September 2023",marketplace_flag,georgia_x_post_x_target_low100,-0.018518291808045366,0.036628698983957875,-0.5055678285531175,0.014515281240060877,-1.2757790566907197,0.05284453309771538,-0.3504296607901332,36376,3267,10,10,3267,0.16154875675649888
monthly_000_200_postsep_low100,"monthly FPL 0-200%, target <=100%, post September 2023",market_or_subsidy,georgia_x_post_x_target_low100,-0.0057752627389893825,0.04040123045513816,-0.14294769426397247,0.019880225239646495,-0.2905028826067806,0.057967369540048434,-0.09962954649855855,36376,3267,10,10,3267,0.19841648878262866
monthly_000_200_postsep_low100,"monthly FPL 0-200%, target <=100%, post September 2023",snap_month,georgia_x_post_x_target_low100,-0.09060337688300674,0.0370869885904475,-2.4429963263812544,0.015011525581165724,-6.035587548588842,0.05681732280397895,-1.5946435419984577,36376,3267,10,10,3267,0.18966293744292642
monthly_000_200_postsep_low100,"monthly FPL 0-200%, target <=100%, post September 2023",work_activity_proxy,georgia_x_post_x_target_low100,-8.392873923109334e-11,6.82056306328211e-12,-12.305250820554125,8.508489662683264e-11,-0.9864117200399267,1.1653665561681475e-11,-7.201917610117473,36376,3267,10,10,3267,0.5450694697192544
monthly_work_proxy_postjul_low100,"monthly FPL 0-200%, work-activity proxy, target <=100%, post July 2023",medicaid,georgia_x_post_x_target_low100,-0.04588277733961987,0.04822280834076496,-0.9514746013005021,0.032764407943434985,-1.4003847534444283,0.09646401928573069,-0.47564654344033763,19288,2032,10,10,2032,0.19568966066135549
monthly_work_proxy_postjul_low100,"monthly FPL 0-200%, work-activity proxy, target <=100%, post July 2023",uninsured,georgia_x_post_x_target_low100,0.044525831236023924,0.05793192075072015,0.7685888998505271,0.03701574486914717,1.2028889704482606,0.1110500705700623,0.40095275047963386,19288,2032,10,10,2032,0.3283863904161741
