model,outcome,term,coef,se_hc1,t_hc1,state_clustered_se,state_clustered_t,n,persons,states,weighted_mean
binary_high_premium_gradient,uninsured,above_post_high,-0.0014391271451606883,0.009784132024022915,-0.14708787060796083,0.02077547684882054,-0.06927047478298387,123189,14002,39,0.10370185516679459
binary_high_premium_gradient,any_coverage,above_post_high,0.0014391271452462023,0.009784132024023093,0.1470878706166982,0.0207754768488242,0.06927047478708777,123189,14002,39,0.8962981448332055
binary_high_premium_gradient,employer_private,above_post_high,0.01052678850949218,0.012267572606521846,0.8580987329062795,0.04309310199761595,0.2442801288724714,123189,14002,39,0.6597769447671702
binary_high_premium_gradient,direct_purchase,above_post_high,-0.015945695134629498,0.008813765790014822,-1.8091807196300234,0.0265482643773327,-0.6006304181694141,123189,14002,39,0.08715764505700113
binary_high_premium_gradient,marketplace_flag,above_post_high,-0.007008874671446618,0.007739945367060176,-0.9055457550482379,0.02018144299493678,-0.3472930391154408,123189,14002,39,0.06200155815501592
binary_high_premium_gradient,market_or_subsidy,above_post_high,-0.01784592176593823,0.008829067900244401,-2.021269058927979,0.026290165135974042,-0.6788059973620643,123189,14002,39,0.08775856051163253
binary_high_premium_gradient,private,above_post_high,0.01417790015753221,0.011326338703756749,1.251763745404298,0.02952844680121867,0.480143783144973,123189,14002,39,0.8472149780440403
continuous_excess_burden_gradient,uninsured,above_post_excess,-0.014631058129111082,0.004771041265069441,-3.066638353398968,0.007032961462643512,-2.0803552254375126,123189,14002,39,0.10370185516679459
continuous_excess_burden_gradient,any_coverage,above_post_excess,0.01463105812888122,0.0047710412650694665,3.0666383533507737,0.007032961462647678,2.080355225403597,123189,14002,39,0.8962981448332055
continuous_excess_burden_gradient,employer_private,above_post_excess,0.016765560271777242,0.005883912933057992,2.8493895920148895,0.012879928514117785,1.3016811586648471,123189,14002,39,0.6597769447671702
continuous_excess_burden_gradient,direct_purchase,above_post_excess,-0.007200898977707672,0.004267944749140932,-1.6872052945758251,0.011052170375048785,-0.651537094828389,123189,14002,39,0.08715764505700113
continuous_excess_burden_gradient,marketplace_flag,above_post_excess,-0.007022531626283548,0.003778884546272301,-1.8583609899410551,0.010845808086958331,-0.6474880958596227,123189,14002,39,0.06200155815501592
continuous_excess_burden_gradient,market_or_subsidy,above_post_excess,-0.007330923176095297,0.0042728749068871525,-1.7156886957488708,0.01100118974513708,-0.6663754871909038,123189,14002,39,0.08775856051163253
continuous_excess_burden_gradient,private,above_post_excess,0.01872218583666673,0.00546402918208097,3.4264432368087037,0.009766571398043251,1.9169660542713847,123189,14002,39,0.8472149780440403
older_age_gradient,uninsured,above_post_older,-0.014160064779007886,0.009364800309933996,-1.512051972318851,0.021928126253907287,-0.6457489625446113,123189,14002,39,0.10370185516679459
older_age_gradient,any_coverage,above_post_older,0.014160064780623646,0.009364800309934026,1.5120519724913817,0.021928126253895296,0.6457489626186488,123189,14002,39,0.8962981448332055
older_age_gradient,employer_private,above_post_older,0.014594285032147818,0.012154399532057093,1.2007409328330498,0.028710366767735997,0.5083280596940516,123189,14002,39,0.6597769447671702
older_age_gradient,direct_purchase,above_post_older,-0.010811087835312528,0.00927952416846436,-1.165047651047998,0.01697725812088084,-0.6367982249156975,123189,14002,39,0.08715764505700113
older_age_gradient,marketplace_flag,above_post_older,-0.009610605478373408,0.008037508565884529,-1.1957194694841062,0.020195150835494606,-0.4758867886979083,123189,14002,39,0.06200155815501592
older_age_gradient,market_or_subsidy,above_post_older,-0.011594833313405318,0.009298320382295215,-1.2469814801695644,0.01702838213215319,-0.6809122101806617,123189,14002,39,0.08775856051163253
older_age_gradient,private,above_post_older,0.028082888117300843,0.010887623042481689,2.579340596907709,0.02985594677388368,0.9406128812456951,123189,14002,39,0.8472149780440403
highpremium_older_quadruple,uninsured,above_post_high_older,0.07396416200993694,0.018821139375147677,3.9298450819402952,0.04088636884445708,1.809017628621334,123189,14002,39,0.10370185516679459
highpremium_older_quadruple,any_coverage,above_post_high_older,-0.07396416200868489,0.01882113937514785,-3.929845081873735,0.04088636884447991,-1.8090176285897013,123189,14002,39,0.8962981448332055
highpremium_older_quadruple,employer_private,above_post_high_older,-0.08740583613770356,0.02440904468149241,-3.5808790257152916,0.05320126324672994,-1.6429278329791546,123189,14002,39,0.6597769447671702
highpremium_older_quadruple,direct_purchase,above_post_high_older,0.024310390082439792,0.018785356627839946,1.2941138443127416,0.0323693619673528,0.7510308700850775,123189,14002,39,0.08715764505700113
highpremium_older_quadruple,marketplace_flag,above_post_high_older,-0.031153560587416765,0.016271788942250724,-1.914575016796376,0.0430888160266823,-0.7230080438535431,123189,14002,39,0.06200155815501592
highpremium_older_quadruple,market_or_subsidy,above_post_high_older,0.017721464141085247,0.01882342446376217,0.9414580314650846,0.03272802347874008,0.5414767608131607,123189,14002,39,0.08775856051163253
highpremium_older_quadruple,private,above_post_high_older,-0.08821243290858391,0.021909156312372745,-4.026281598929839,0.057077493223140874,-1.5454854081226543,123189,14002,39,0.8472149780440403
