high_need,outcome,coef,se_hc1,t_hc1,se_person_cluster,t_person_cluster,n,clusters_person
diabetes_bridge,oop_amount,-356.0986003437989,294.8914879945984,-1.2075580843836418,287.45365142584257,-1.2388035378136966,67333,42397
diabetes_bridge,log_oop,-0.5130709084081521,0.42115776127679194,-1.2182392338033,0.4232633630249425,-1.212178877806434,67333,42397
diabetes_bridge,oop_gt_500,-0.06974491616794845,0.05782670200061841,-1.206102263400783,0.05713454703426717,-1.2207135575279533,67985,42685
diabetes_bridge,oop_gt_1000,-0.05852134626215334,0.05035619462571275,-1.162147908457549,0.0495677384028486,-1.180633778094467,67985,42685
diabetes_bridge,oop_gt_2000,-0.0793642282377877,0.04247720023098672,-1.8683959349065629,0.04114332915385695,-1.9289695284745272,67985,42685
diabetes_bridge,medical_debt,0.0027680603386374476,0.05772373435456652,0.047953590833793074,0.056222406208410784,0.04923411368016743,67985,42685
diabetes_bridge,doctor_any,0.010377315084581418,0.03635814949424517,0.2854192314222141,0.03644514181532422,0.28473795320006223,67985,42685
diabetes_bridge,dental_any,0.0853465047501488,0.06067458196868019,1.4066269924068713,0.05817438103149583,1.4670805814666403,67985,42685
diabetes_bridge,hospital_any,-0.06905322752545334,0.05568043095844614,-1.2401704932382298,0.05463614350837193,-1.2638744810909333,67985,42685
daily_rx,oop_amount,207.65084075304378,121.53333613346206,1.708591628925677,118.34434818392056,1.7546325104628637,67333,42397
daily_rx,log_oop,0.2110985255873478,0.15654869002768512,1.348452839496873,0.1514191246818197,1.3941338389779607,67333,42397
daily_rx,oop_gt_500,0.0070301650555973285,0.02142211699467651,0.3281732173036099,0.020805683259530517,0.33789637994113947,67985,42685
daily_rx,oop_gt_1000,0.010238131402259834,0.01886583984067049,0.5426809242909364,0.018342464107864134,0.5581655410120359,67985,42685
daily_rx,oop_gt_2000,0.013720002888044133,0.015375535886516084,0.8923268098952046,0.015007289225387802,0.9142225942333431,67985,42685
daily_rx,medical_debt,-0.011661144783994683,0.012339497454972875,-0.9450259077848577,0.01199569515170588,-0.9721107977920213,67985,42685
daily_rx,doctor_any,0.006945063703008321,0.01906284590187307,0.3643245997349176,0.018449790232131606,0.3764304968038609,67985,42685
daily_rx,dental_any,0.021836437266169906,0.022187326714753344,0.9841851407745253,0.021306386048427037,1.0248775750396206,67985,42685
daily_rx,hospital_any,0.02753372698711127,0.013493923156369832,2.0404538152504537,0.013227494729522154,2.0815526711690424,67985,42685
diabetes_or_daily_rx,oop_amount,210.4084091801131,121.34201736528355,1.7340111343847808,118.2940578979813,1.778689588631516,67333,42397
diabetes_or_daily_rx,log_oop,0.20932434508319,0.156631800708499,1.3364102572807353,0.15147464433649552,1.3819101275998604,67333,42397
diabetes_or_daily_rx,oop_gt_500,0.008472848550722415,0.021440333950375486,0.39518267627422055,0.020813834570563267,0.4070777310157665,67985,42685
diabetes_or_daily_rx,oop_gt_1000,0.011352941773715127,0.018873747536858252,0.601520273148941,0.01834392414541284,0.6188938464703635,67985,42685
diabetes_or_daily_rx,oop_gt_2000,0.014214145795879827,0.015367745362517404,0.9249337141249584,0.014996957489047742,0.9478019662495142,67985,42685
diabetes_or_daily_rx,medical_debt,-0.0127379630579774,0.01228666388853801,-1.0367308142823373,0.011949148436417222,-1.0660142959774541,67985,42685
diabetes_or_daily_rx,doctor_any,0.005729729423000709,0.019090486666330203,0.3001353251568073,0.018467249988500047,0.310264355904032,67985,42685
diabetes_or_daily_rx,dental_any,0.02404844165932336,0.022210610893086454,1.0827456198788739,0.021319795046847622,1.1279865311312738,67985,42685
diabetes_or_daily_rx,hospital_any,0.026393014228445276,0.01349721575694378,1.9554413816691876,0.01323215810148449,1.9946114629241238,67985,42685
