sample,high_col,outcome,coef_high_x_2023,se_hc1,t_hc1,se_person_cluster,t_person_cluster,n_pairs,n_persons,n_clusters,n_states,actual_high_pairs,actual_high_persons,weighted_mean_delta
baseline_family_employer_premium_atrisk,premium_gt_0912,d_direct_market,0.020258631560481112,0.035939842206578206,0.5636817057803637,0.03588033040621819,0.5646166390087148,5210,4244,4244,47,74,74,0.04835950117450702
baseline_family_employer_premium_atrisk,premium_gt_0912,d_exchange_subsidy,-0.011414227832112954,0.024488302909422093,-0.4661093859518222,0.024464559229723643,-0.4665617608284983,5210,4244,4244,47,74,74,0.0336817611302253
baseline_family_employer_premium_atrisk,premium_gt_0912,d_uninsured,-0.04321519807747765,0.014890849146998012,-2.9021312116501976,0.014892284533284355,-2.9018514910114295,5210,4244,4244,47,74,74,0.021303868951422073
baseline_family_employer_premium_atrisk,premium_gt_0912,d_any_coverage,0.04321519807747765,0.014890849146998003,2.9021312116501994,0.014892284533284356,2.901851491011429,5210,4244,4244,47,74,74,-0.021303868951422073
baseline_family_employer_premium_atrisk,premium_gt_0912,d_private,0.05773356824772487,0.017451760368631702,3.308180208083584,0.017454073269433455,3.3077418294577177,5210,4244,4244,47,74,74,-0.03349860437898085
baseline_family_employer_premium_atrisk,premium_gt_0912,d_employer_related_private,0.060308415111857264,0.034666064209290644,1.7396960539781834,0.034580006666047367,1.744025549048593,5210,4244,4244,47,74,74,-0.07330376850481014
baseline_family_employer_premium_atrisk,premium_gt_0912,d_current_employer_private,0.10890511818096692,0.04626924519949521,2.3537258434065627,0.04662962639043634,2.3355348650896155,5210,4244,4244,47,74,74,-0.06991390369531186
baseline_family_employer_premium_atrisk,premium_gt_0912,d_bought_direct_source,0.02248907404884065,0.03545228656711076,0.6343476324515515,0.03537892974871642,0.6356629273008626,5210,4244,4244,47,74,74,0.03670325517758655
baseline_family_employer_premium_atrisk,premium_gt_0912,d_oop_any,0.010074903313792134,0.06239131955767999,0.16147924719684784,0.06268641058839941,0.16071909715718466,5210,4244,4244,47,74,74,-0.09205895072973068
baseline_family_employer_premium_atrisk,premium_gt_0912,d_doctor_any,0.19346954143695214,0.06744750471171664,2.8684462422127766,0.06880748833404911,2.811751251516247,5210,4244,4244,47,74,74,-0.018405454604409035
baseline_family_employer_premium_atrisk,premium_gt_05,d_direct_market,0.009348966625316313,0.01658905802915164,0.5635622353534209,0.016593359031439315,0.5634161598988423,5210,4244,4244,47,265,265,0.04835950117450702
baseline_family_employer_premium_atrisk,premium_gt_05,d_exchange_subsidy,-0.0010833539294132812,0.013372507432391262,-0.08101352232485218,0.01335716481961901,-0.08110657793351853,5210,4244,4244,47,265,265,0.0336817611302253
baseline_family_employer_premium_atrisk,premium_gt_05,d_uninsured,-0.02431048229267003,0.011117675703401744,-2.1866515035360856,0.011132336988972777,-2.1837716839465933,5210,4244,4244,47,265,265,0.021303868951422073
baseline_family_employer_premium_atrisk,premium_gt_05,d_any_coverage,0.024310482292670035,0.011117675703401716,2.1866515035360914,0.01113233698897275,2.183771683946599,5210,4244,4244,47,265,265,-0.021303868951422073
baseline_family_employer_premium_atrisk,premium_gt_05,d_private,0.039576035005665144,0.012607219680116202,3.1391564524003255,0.012634797166373002,3.132304736240258,5210,4244,4244,47,265,265,-0.03349860437898085
baseline_family_employer_premium_atrisk,premium_gt_05,d_employer_related_private,0.02596720907407088,0.020086129115910116,1.292793097376955,0.020071704302955996,1.2937221813419522,5210,4244,4244,47,265,265,-0.07330376850481014
baseline_family_employer_premium_atrisk,premium_gt_05,d_current_employer_private,0.04311889087403745,0.02592635343436438,1.663129795063467,0.025775591938612712,1.67285744500959,5210,4244,4244,47,265,265,-0.06991390369531186
baseline_family_employer_premium_atrisk,premium_gt_05,d_bought_direct_source,0.010935297978507237,0.01534489904503372,0.7126340777097766,0.015343220331772192,0.7127120475395124,5210,4244,4244,47,265,265,0.03670325517758655
baseline_family_employer_premium_atrisk,premium_gt_05,d_oop_any,-0.0807027821754194,0.04356942332536063,-1.8522802464645982,0.04399706526703658,-1.8342764837972823,5210,4244,4244,47,265,265,-0.09205895072973068
baseline_family_employer_premium_atrisk,premium_gt_05,d_doctor_any,0.05829970176456679,0.03936877455182574,1.4808614804054936,0.03970892939219942,1.4681761169823786,5210,4244,4244,47,265,265,-0.018405454604409035
paid_for_family_or_others,premium_gt_0912,d_direct_market,0.027506690309435006,0.04615338220550854,0.5959842809992807,0.04613349030609903,0.5962412582903686,2954,2496,2496,46,56,56,0.04317640435119089
paid_for_family_or_others,premium_gt_0912,d_exchange_subsidy,-0.0014482814984017982,0.035003602252952896,-0.04137521298339006,0.03502053375298057,-0.04135520916435307,2954,2496,2496,46,56,56,0.028179830947217474
paid_for_family_or_others,premium_gt_0912,d_uninsured,-0.04162244672102122,0.015825922121947732,-2.630017157944832,0.01583122365594256,-2.629136422148734,2954,2496,2496,46,56,56,0.01828750285975652
paid_for_family_or_others,premium_gt_0912,d_any_coverage,0.041622446721021236,0.01582592212194777,2.6300171579448266,0.0158312236559426,2.629136422148728,2954,2496,2496,46,56,56,-0.01828750285975652
paid_for_family_or_others,premium_gt_0912,d_private,0.0439047411984149,0.017348325518964994,2.530776883937227,0.01729843974545343,2.538075216289633,2954,2496,2496,46,56,56,-0.027145128484968393
paid_for_family_or_others,premium_gt_0912,d_employer_related_private,0.05686960467905977,0.04015559765060732,1.4162310613299929,0.04016236684359933,1.4159923617181709,2954,2496,2496,46,56,56,-0.06522060302595371
paid_for_family_or_others,premium_gt_0912,d_current_employer_private,0.08302337820460512,0.0552069830574145,1.503856461749811,0.055831211551543906,1.4870423889683488,2954,2496,2496,46,56,56,-0.0618600684517804
paid_for_family_or_others,premium_gt_0912,d_bought_direct_source,0.020445325470588804,0.04615361760240929,0.4429842454976168,0.046130314881720126,0.44320801891362316,2954,2496,2496,46,56,56,0.03479922544571349
paid_for_family_or_others,premium_gt_0912,d_oop_any,0.05819323712368826,0.08114384888660998,0.7171614105341146,0.08189603362327282,0.7105745485963461,2954,2496,2496,46,56,56,-0.09325356665754835
paid_for_family_or_others,premium_gt_0912,d_doctor_any,0.18766322758069137,0.07706637579281454,2.4350856732280457,0.07744219189835373,2.4232685436771675,2954,2496,2496,46,56,56,-0.023687485152354526
paid_for_family_or_others,premium_gt_05,d_direct_market,0.010323133954738134,0.019639708190589033,0.5256256281691996,0.01964555641299716,0.5254691563690468,2954,2496,2496,46,194,194,0.04317640435119089
paid_for_family_or_others,premium_gt_05,d_exchange_subsidy,0.0013653205142543506,0.01662413608607111,0.08212881001367126,0.016635021303317368,0.08207506857728385,2954,2496,2496,46,194,194,0.028179830947217474
paid_for_family_or_others,premium_gt_05,d_uninsured,-0.023681713247507622,0.012396227786651838,-1.91039674771126,0.012379078888355733,-1.9130432450659645,2954,2496,2496,46,194,194,0.01828750285975652
paid_for_family_or_others,premium_gt_05,d_any_coverage,0.023681713247507643,0.0123962277866518,1.9103967477112676,0.012379078888355696,1.9130432450659718,2954,2496,2496,46,194,194,-0.01828750285975652
paid_for_family_or_others,premium_gt_05,d_private,0.028761605810496957,0.013688453438617475,2.101158172431338,0.013673985513745376,2.1033813281128015,2954,2496,2496,46,194,194,-0.027145128484968393
paid_for_family_or_others,premium_gt_05,d_employer_related_private,0.026192408419658114,0.022447804418622826,1.166813819792939,0.022429110993331572,1.167786294670592,2954,2496,2496,46,194,194,-0.06522060302595371
paid_for_family_or_others,premium_gt_05,d_current_employer_private,0.03653712366533421,0.029158259583917392,1.2530625691214685,0.02963089556836435,1.2330752400323448,2954,2496,2496,46,194,194,-0.0618600684517804
paid_for_family_or_others,premium_gt_05,d_bought_direct_source,0.0070893857610694125,0.018731583197623487,0.37847232058680746,0.018732358857783335,0.37845664899398174,2954,2496,2496,46,194,194,0.03479922544571349
paid_for_family_or_others,premium_gt_05,d_oop_any,-0.06000607341361813,0.05554783126711401,-1.0802595176950416,0.05453316524534647,-1.1003592610780775,2954,2496,2496,46,194,194,-0.09325356665754835
paid_for_family_or_others,premium_gt_05,d_doctor_any,0.05120658537875004,0.049881404577940755,1.026566629629257,0.04994092233258863,1.0253432052722724,2954,2496,2496,46,194,194,-0.023687485152354526
