sample,outcome,coef_active_x_above400,se_hc1,t_stat,cells,treated_cells,treated_weight,treated_event_count,weighted_mean_treated,weighted_mean_untreated
all_150_600_fpl,direct_purchase,-0.011158602570766507,0.0028273514424290223,-3.9466627329427344,8725,768,372515469.44921875,3566,0.08153078323557472,0.13453907532878856
all_150_600_fpl,market_or_subsidy,-0.007731096931862441,0.0025832432679114923,-2.9927870239309287,8725,768,372515469.44921875,2634,0.059828792455627486,0.11229743708320292
all_150_600_fpl,uninsured,0.027298290883003312,0.002451100049468425,11.137158962125413,8725,768,372515469.44921875,2560,0.061009045373359896,0.13564274039043375
all_150_600_fpl,any_coverage,-0.027298290882993292,0.002451100049468349,-11.13715896212167,8725,768,372515469.44921875,42450,0.9389909546266401,0.8643572596095662
all_150_600_fpl,private,-0.028225213254055026,0.0031059036294451563,-9.08760110470563,8725,768,372515469.44921875,40121,0.8863482478137427,0.7310319872127927
all_150_600_fpl,oop_any,-0.00042783339307694845,0.004135050628456797,-0.10346509184982242,8725,768,372515469.44921875,31233,0.6970744166375908,0.6165968534349399
all_150_600_fpl,doctor_any,-0.024724416310151875,0.003487739553780166,-7.0889514337028015,8725,768,372515469.44921875,34689,0.7707039391803929,0.7367910974200672
