reference_year,state,rating_areas_age40,rating_areas_age60,slcsp_state_mean_age40,slcsp_state_mean_age60,slcsp_state_median_age40,slcsp_state_median_age60,fpl_single,gross_burden_age60_at400fpl,gross_burden_age40_at400fpl,gross_burden_excess_age60_over_8p5,pre_2021_age60_excess_burden,high_pre_premium_burden
2018,AK,3,3,727.0,1544.3333333333333,727.0,1544.0,15180,0.3052042160737813,0.14367588932806324,0.22020421607378127,0.21000617989373607,1
2018,AL,13,13,559.34,1187.833076923077,560.73,1190.78,12140,0.2935337092890635,0.13822240527182866,0.2085337092890635,0.19854898533309476,1
2018,AR,7,7,362.11428571428576,769.0028571428571,357.9,760.06,12140,0.1900336549776418,0.0894845846081431,0.10503365497764179,0.1037833145817777,0
2018,AZ,7,7,586.6128571428571,1245.7485714285715,599.14,1272.35,12140,0.30784561073193695,0.14496199105671922,0.22284561073193693,0.20474757727743675,1
2018,DE,1,1,590.78,1254.6,590.78,1254.6,12140,0.3100329489291598,0.14599176276771003,0.22503294892915976,0.22592096885432614,1
2018,FL,67,67,587.4743283582089,1247.5792537313432,529.56,1124.6,12140,0.3082980033932479,0.145174875212078,0.2232980033932479,0.20837611750284935,1
2018,GA,16,16,577.13125,1225.614375,595.385,1264.38,12140,0.30287010914332785,0.14261892504118617,0.21787010914332783,0.1758417431723521,0
2018,HI,1,1,456.06,968.5,456.06,968.5,13960,0.20813037249283667,0.09800716332378225,0.12313037249283666,0.12671822023069465,0
2018,IA,7,7,754.2114285714285,1601.6714285714286,757.03,1607.66,12140,0.3958001882795952,0.1863784419863497,0.31080018827959516,0.2897810668854524,1
2018,IL,13,13,550.5338461538461,1169.1323076923077,559.3,1187.75,12140,0.2889124318844253,0.13604625522747432,0.20391243188442526,0.18891628633995464,1
2018,IN,17,17,344.4570588235294,731.4970588235293,348.24,739.54,12140,0.18076533578835158,0.08512118422327744,0.09576533578835157,0.0925341107508569,0
2018,KS,7,7,491.7514285714286,1044.2957142857142,484.5,1028.9,12140,0.25806319133913863,0.12152012238173689,0.1730631913391386,0.1768675701832235,0
2018,KY,8,8,414.885,881.06125,410.76,872.3,12140,0.21772518533772653,0.10252512355848435,0.13272518533772654,0.14622335878675413,0
2018,LA,8,8,500.63874999999996,1063.1725000000001,497.245,1055.9650000000001,12140,0.2627279654036244,0.12371633031301481,0.1777279654036244,0.1673643045439331,0
2018,ME,4,4,614.565,1305.105,567.78,1205.755,12140,0.3225135914332784,0.1518694398682043,0.23751359143327838,0.20630075727110633,1
2018,MI,16,16,405.084375,860.24875,413.46000000000004,878.03,12140,0.21258206342668864,0.10010322281713346,0.12758206342668865,0.12112297059750955,0
2018,MO,10,10,566.205,1202.409,537.71,1141.895,12140,0.2971356672158155,0.139918863261944,0.2121356672158155,0.1996475182231173,1
2018,MS,6,6,528.5766666666667,1122.5016666666668,538.385,1143.3249999999998,12140,0.27738920922570015,0.13062026359143328,0.19238920922570013,0.17758080447304966,0
