model,outcome,term,coef,se,t,n_person_years,n_persons,n_states,weighted_mean
snap_ea_early_end_lag_snap_2018_2022,food_insecure,ea_end_treat,0.06617201523807892,0.041955283873612574,1.5772033729390937,27622,18831,50,0.2010022079298378
snap_ea_early_end_lag_snap_2018_2022,very_low_food,ea_end_treat,0.009722314962459011,0.035059198226993785,0.277311389139907,27622,18831,50,0.08566329270991299
snap_ea_early_end_lag_snap_2018_2022,food_score,ea_end_treat,0.10358408344858105,0.1956326034218065,0.5294827223928611,27622,18831,50,0.861917625918678
snap_ea_early_end_lag_snap_2018_2022,snap_any,ea_end_treat,-0.008985445085291754,0.03521232240718313,-0.25517899618739065,27622,18831,50,0.21961143144226986
snap_ea_early_end_lag_snap_2018_2022,snap_share,ea_end_treat,-0.027538854282762815,0.03515008630893451,-0.7834647699218578,27622,18831,50,0.1895811074865586
snap_ea_early_end_lag_snap_2018_2022,doctor_any,ea_end_treat,0.04654905716385671,0.037694229388948904,1.234912025486422,27622,18831,50,0.6727474825428243
snap_ea_early_end_lag_snap_2018_2022,doctor_visits,ea_end_treat,-1.2453073321306647,1.2227056644999934,-1.0184849619061134,26803,18189,50,5.158533605558365
snap_ea_early_end_lag_snap_2018_2022,dental_any,ea_end_treat,-0.03125559117401511,0.04359750862690002,-0.716912322708508,27622,18831,50,0.5377351237163593
snap_ea_early_end_lag_snap_2018_2022,oop_any,ea_end_treat,0.027191386034019494,0.04259712410083262,0.6383385406407753,27622,18831,50,0.4508465539460057
snap_ea_early_end_lag_snap_2018_2022,sick_days,ea_end_treat,-9.304160159888156,4.146206339325643,-2.2440176388812874,26803,18189,50,9.781152407852922
snap_ea_early_end_lag_snap_2018_2022,any_coverage,ea_end_treat,0.005941529289177794,0.02849553302281366,0.20850739252432923,27622,18831,50,0.8247970378263865
snap_ea_early_end_lag_snap_2018_2022,uninsured,ea_end_treat,-0.005941529288933517,0.028495533022812266,-0.20850739251576697,27622,18831,50,0.17520296217361345
snap_ea_early_end_lag_snap_2018_2022,public,ea_end_treat,-0.05793392851172685,0.03879867467834309,-1.4931934915824536,27622,18831,50,0.41424177271133106
snap_ea_early_end_lag_snap_2018_2022,private,ea_end_treat,0.04985822641437543,0.040759793287208024,1.2232207867948839,27622,18831,50,0.4931700183297667
snap_ea_early_end_lag_snap_2018_2022,employed_share,ea_end_treat,0.05731478139884849,0.038904535405584625,1.4732159323157252,27622,18831,50,0.5818912866768773
snap_ea_early_end_lag_snap_2018_2022,log_earnings,ea_end_treat,0.5545223492199423,0.40471620604659275,1.370151085958992,27622,18831,50,6.054337131161405
snap_ea_early_end_lag_snap_2018_2023_including_federal_cliff,food_insecure,ea_end_treat,0.038666485297287334,0.033925107227697225,1.1397601498432153,31702,21116,50,0.20775461948403853
snap_ea_early_end_lag_snap_2018_2023_including_federal_cliff,very_low_food,ea_end_treat,0.005279337273996543,0.027451559553487947,0.19231465752282767,31702,21116,50,0.08798879318589808
snap_ea_early_end_lag_snap_2018_2023_including_federal_cliff,food_score,ea_end_treat,0.03451641908215031,0.1555944746264218,0.22183576354509574,31702,21116,50,0.8856396948211557
snap_ea_early_end_lag_snap_2018_2023_including_federal_cliff,snap_any,ea_end_treat,-0.019141003024271352,0.028664576853486473,-0.6677580876950302,31702,21116,50,0.21911260485724976
snap_ea_early_end_lag_snap_2018_2023_including_federal_cliff,snap_share,ea_end_treat,-0.04110048955077161,0.0288991557752625,-1.4222038135090915,31702,21116,50,0.18839925721874767
snap_ea_early_end_lag_snap_2018_2023_including_federal_cliff,doctor_any,ea_end_treat,0.019291974082646934,0.03168314127900217,0.6089034516104812,31702,21116,50,0.6782404928919465
snap_ea_early_end_lag_snap_2018_2023_including_federal_cliff,doctor_visits,ea_end_treat,-0.34168106925981334,0.9871431460583148,-0.3461312279016004,30780,20398,50,5.1666671559972785
snap_ea_early_end_lag_snap_2018_2023_including_federal_cliff,dental_any,ea_end_treat,-0.04725757456669566,0.03644549681153494,-1.2966642987766521,31702,21116,50,0.546967644768842
snap_ea_early_end_lag_snap_2018_2023_including_federal_cliff,oop_any,ea_end_treat,0.02169727310685876,0.03591661226683576,0.6041013263072509,31702,21116,50,0.4517126124967132
snap_ea_early_end_lag_snap_2018_2023_including_federal_cliff,sick_days,ea_end_treat,-3.305720797472887,3.7530061550946177,-0.8808194446964731,30780,20398,50,9.87771113181891
