model,excluded_state,excluded_state_name,outcome,term,coef,se,t,n_household_years,n_households,n_states,weighted_mean
snap_ea_household_lag_snap_leave_one,16,Idaho,food_insecure,ea_end_treat,0.07503586834443265,0.04496703660665638,1.6686860866727706,19236,19254,50,0.20356319791911676
snap_ea_household_lag_snap_leave_one,16,Idaho,very_low_food,ea_end_treat,0.03006470732700134,0.03722851969599723,0.807571925300964,19236,19254,50,0.08940603860535853
snap_ea_household_lag_snap_leave_one,16,Idaho,food_score,ea_end_treat,0.17481279649413217,0.20886007291075634,0.8369852315853007,19236,19254,50,0.8834765503304147
snap_ea_household_lag_snap_leave_one,38,North Dakota,food_insecure,ea_end_treat,0.07633877804866862,0.04433881954517966,1.7217142637476435,19408,19422,50,0.20402290906546297
snap_ea_household_lag_snap_leave_one,38,North Dakota,very_low_food,ea_end_treat,0.025794009328391876,0.03669083327670539,0.7030096355093743,19408,19422,50,0.089752117703992
snap_ea_household_lag_snap_leave_one,38,North Dakota,food_score,ea_end_treat,0.16112631193837856,0.2058441872053945,0.7827586201285551,19408,19422,50,0.8855651723148772
snap_ea_household_lag_snap_leave_one,05,Arkansas,food_insecure,ea_end_treat,0.08153344599249945,0.04527607640454587,1.8008063522110593,19150,19165,50,0.20249285973073866
snap_ea_household_lag_snap_leave_one,05,Arkansas,very_low_food,ea_end_treat,0.044200403063142435,0.037370591042155926,1.1827590046216323,19150,19165,50,0.08876231441214885
snap_ea_household_lag_snap_leave_one,05,Arkansas,food_score,ea_end_treat,0.23092433102408094,0.21023696296684455,1.0984002421139374,19150,19165,50,0.8788418485634775
snap_ea_household_lag_snap_leave_one,31,Nebraska,food_insecure,ea_end_treat,0.0650574235782313,0.04487604659359459,1.4497137897953183,19308,19323,50,0.20323612163781335
snap_ea_household_lag_snap_leave_one,31,Nebraska,very_low_food,ea_end_treat,0.011777881420850511,0.03689758778334525,0.31920464530114306,19308,19323,50,0.08861444960319502
snap_ea_household_lag_snap_leave_one,31,Nebraska,food_score,ea_end_treat,0.08423310421868724,0.20680624588918112,0.4073044499044012,19308,19323,50,0.8792575014095236
snap_ea_household_lag_snap_leave_one,12,Florida,food_insecure,ea_end_treat,0.02545497232044136,0.05240374603231194,0.4857471888506964,18260,18270,50,0.20126651770912452
snap_ea_household_lag_snap_leave_one,12,Florida,very_low_food,ea_end_treat,-0.014265273092285313,0.04324972198870862,-0.3298350240496252,18260,18270,50,0.08841200787024547
snap_ea_household_lag_snap_leave_one,12,Florida,food_score,ea_end_treat,-0.01926717797123967,0.2475032843310108,-0.07784615070187009,18260,18270,50,0.8721453655490847
snap_ea_household_lag_snap_leave_one,46,South Dakota,food_insecure,ea_end_treat,0.07758747752915407,0.044631478240915436,1.7384025935763554,19407,19422,50,0.20384488402101392
snap_ea_household_lag_snap_leave_one,46,South Dakota,very_low_food,ea_end_treat,0.025744895196349316,0.036977517887277704,0.6962310254255052,19407,19422,50,0.08967925821400813
snap_ea_household_lag_snap_leave_one,46,South Dakota,food_score,ea_end_treat,0.1620050740832717,0.20730991895405515,0.7814632068771196,19407,19422,50,0.8844033275025076
snap_ea_household_lag_snap_leave_one,30,Montana,food_insecure,ea_end_treat,0.07419270342201789,0.04462936633630485,1.6624189297902718,19318,19333,50,0.2039977882133828
snap_ea_household_lag_snap_leave_one,30,Montana,very_low_food,ea_end_treat,0.022781889454568383,0.036934427749683585,0.616819884389939,19318,19333,50,0.08973666741646474
snap_ea_household_lag_snap_leave_one,30,Montana,food_score,ea_end_treat,0.14798384681658838,0.20721165928245433,0.7141675682200327,19318,19333,50,0.8853761051218123
snap_ea_household_lag_snap_leave_one,29,Missouri,food_insecure,ea_end_treat,0.07971046800166481,0.045513110794266835,1.7513737604529052,19132,19148,50,0.20349926301097818
snap_ea_household_lag_snap_leave_one,29,Missouri,very_low_food,ea_end_treat,0.03736896308989229,0.038121557046075095,0.9802580478212579,19132,19148,50,0.08982948838410625
snap_ea_household_lag_snap_leave_one,29,Missouri,food_score,ea_end_treat,0.21018680669617407,0.21300329049247363,0.9867772756477718,19132,19148,50,0.8839817725193432
snap_ea_household_lag_snap_leave_one,28,Mississippi,food_insecure,ea_end_treat,0.07753498649288926,0.045665154229715545,1.6979026524875975,18968,18981,50,0.20352273864564394
snap_ea_household_lag_snap_leave_one,28,Mississippi,very_low_food,ea_end_treat,0.0271745984046593,0.03802271666921925,0.7146937616548087,18968,18981,50,0.08955320081089777
snap_ea_household_lag_snap_leave_one,28,Mississippi,food_score,ea_end_treat,0.17253680480349942,0.21276627149581376,0.8109217856313008,18968,18981,50,0.8833822314498456
snap_ea_household_lag_snap_leave_one,47,Tennessee,food_insecure,ea_end_treat,0.08947556950872548,0.04527383108550273,1.976319815739577,18827,18843,50,0.20270278625415275
snap_ea_household_lag_snap_leave_one,47,Tennessee,very_low_food,ea_end_treat,0.03291228423192544,0.037095869295993414,0.8872223473000044,18827,18843,50,0.08859176725481054
snap_ea_household_lag_snap_leave_one,47,Tennessee,food_score,ea_end_treat,0.2163747022025131,0.20746452136003046,1.0429479738707712,18827,18843,50,0.8775968279147832
snap_ea_household_lag_snap_leave_one,19,Iowa,food_insecure,ea_end_treat,0.09441942619095356,0.04493554184786462,2.1012192644883054,19215,19229,50,0.20377906883387334
snap_ea_household_lag_snap_leave_one,19,Iowa,very_low_food,ea_end_treat,0.03184441188292392,0.037475768579035576,0.8497333901442141,19215,19229,50,0.0897822954988302
snap_ea_household_lag_snap_leave_one,19,Iowa,food_score,ea_end_treat,0.219455532030155,0.20964901013021792,1.0467759036584339,19215,19229,50,0.8845735960119073
snap_ea_household_lag_snap_leave_one,56,Wyoming,food_insecure,ea_end_treat,0.07876481637736754,0.0444744331310647,1.7710133852690195,19395,19409,50,0.20381064310599478
snap_ea_household_lag_snap_leave_one,56,Wyoming,very_low_food,ea_end_treat,0.02756696269618636,0.03680082070504359,0.749085541247407,19395,19409,50,0.089568294675486
snap_ea_household_lag_snap_leave_one,56,Wyoming,food_score,ea_end_treat,0.17183194097429944,0.206441311039226,0.83235249819572,19395,19409,50,0.8839809419700044
snap_ea_household_lag_snap_leave_one,04,Arizona,food_insecure,ea_end_treat,0.08610075697362518,0.04507237710045845,1.9102777024988418,18975,18990,50,0.20344320499402388
snap_ea_household_lag_snap_leave_one,04,Arizona,very_low_food,ea_end_treat,0.024768553622593836,0.03706345768334487,0.6682742294096331,18975,18990,50,0.08946217116004274
snap_ea_household_lag_snap_leave_one,04,Arizona,food_score,ea_end_treat,0.19999657193128595,0.20927255549707724,0.955675107307987,18975,18990,50,0.8832736006484732
snap_ea_household_lag_snap_leave_one,21,Kentucky,food_insecure,ea_end_treat,0.07466445217003703,0.04540611283181024,1.6443700531380707,19072,19085,50,0.20415705247102625
snap_ea_household_lag_snap_leave_one,21,Kentucky,very_low_food,ea_end_treat,0.02270902528931118,0.037660064169556216,0.6030001751210181,19072,19085,50,0.08971157822674157
snap_ea_household_lag_snap_leave_one,21,Kentucky,food_score,ea_end_treat,0.14796490988547717,0.21099084199052096,0.701285934922828,19072,19085,50,0.8859351999033555
snap_ea_household_lag_snap_leave_one,18,Indiana,food_insecure,ea_end_treat,0.07710579045943589,0.045764069403186836,1.6848543292801346,18935,18949,50,0.20412488233001597
snap_ea_household_lag_snap_leave_one,18,Indiana,very_low_food,ea_end_treat,0.025706572351014312,0.038647409532306755,0.6651564144169939,18935,18949,50,0.09006326934582942
snap_ea_household_lag_snap_leave_one,18,Indiana,food_score,ea_end_treat,0.14834820922299397,0.2141300553415192,0.6927948950762247,18935,18949,50,0.8864863281063164
snap_ea_household_lag_snap_leave_one,13,Georgia,food_insecure,ea_end_treat,0.07860690262244074,0.04656209061620612,1.6882167785456201,18759,18770,50,0.20340958696258357
snap_ea_household_lag_snap_leave_one,13,Georgia,very_low_food,ea_end_treat,0.027034859476165907,0.03820439367649804,0.7076374436167736,18759,18770,50,0.08935745165135892
snap_ea_household_lag_snap_leave_one,13,Georgia,food_score,ea_end_treat,0.13036945532352817,0.2133524768914936,0.6110519888167562,18759,18770,50,0.8813921660859244
snap_ea_household_lag_snap_leave_one,02,Alaska,food_insecure,ea_end_treat,0.07291762509745603,0.04456659417623239,1.6361498213014312,19377,19393,50,0.20321580446247464
snap_ea_household_lag_snap_leave_one,02,Alaska,very_low_food,ea_end_treat,0.023308385337769577,0.036888564757870584,0.6318593713461426,19377,19393,50,0.08904533189047503
snap_ea_household_lag_snap_leave_one,02,Alaska,food_score,ea_end_treat,0.13423464100465576,0.20682228001436215,0.6490337549481334,19377,19393,50,0.8807657736335184
