state,year,treated_state_2024,propensity_score,ipw
AL,2021,1,0.1581234692467448,1.0
AL,2022,1,0.1581234692467448,1.0
AL,2023,1,0.1581234692467448,1.0
AL,2024,1,0.1581234692467448,1.0
AK,2021,0,0.37275920126785145,0.5942840485206246
AK,2022,0,0.37275920126785145,0.5942840485206246
AK,2023,0,0.37275920126785145,0.5942840485206246
AK,2024,0,0.37275920126785145,0.5942840485206246
AZ,2021,0,0.24066153341499555,0.3169357855625698
AZ,2022,0,0.24066153341499555,0.3169357855625698
AZ,2023,0,0.24066153341499555,0.3169357855625698
AZ,2024,0,0.24066153341499555,0.3169357855625698
AR,2021,0,0.25233906855150556,0.33750468686739044
AR,2022,0,0.25233906855150556,0.33750468686739044
AR,2023,0,0.25233906855150556,0.33750468686739044
AR,2024,0,0.25233906855150556,0.33750468686739044
CA,2021,0,0.16670173883815337,0.20005050605256916
CA,2022,0,0.16670173883815337,0.20005050605256916
CA,2023,0,0.16670173883815337,0.20005050605256916
CA,2024,0,0.16670173883815337,0.20005050605256916
CO,2021,0,0.22381409669199764,0.2883511485304376
CO,2022,0,0.22381409669199764,0.2883511485304376
CO,2023,0,0.22381409669199764,0.2883511485304376
CO,2024,0,0.22381409669199764,0.2883511485304376
CT,2021,0,0.30728501453593066,0.4435951596024327
CT,2022,0,0.30728501453593066,0.4435951596024327
CT,2023,0,0.30728501453593066,0.4435951596024327
CT,2024,0,0.30728501453593066,0.4435951596024327
DE,2021,0,0.2682438138069543,0.3665753961063043
DE,2022,0,0.2682438138069543,0.3665753961063043
DE,2023,0,0.2682438138069543,0.3665753961063043
DE,2024,0,0.2682438138069543,0.3665753961063043
DC,2021,0,0.21058691643670527,0.2667639045025031
DC,2022,0,0.21058691643670527,0.2667639045025031
DC,2023,0,0.21058691643670527,0.2667639045025031
DC,2024,0,0.21058691643670527,0.2667639045025031
FL,2021,0,0.17042993674729645,0.2054436922169648
FL,2022,0,0.17042993674729645,0.2054436922169648
