download_priority_order,queue_role,country,wave,idno,survey_name,requirement,requirement_role,candidate_rank,file_name,variable_name,variable_label,match_score,checklist_ref,raw_package_status,archive_preflight_status,current_verification_status,fill_raw_file_used,fill_raw_variable_used,fill_variable_label_verified,fill_value_distribution_checked,fill_missing_codes_documented,fill_unit_recall_period_documented,fill_merge_key_or_level_verified,fill_skip_pattern_checked,fill_promote_variable,review_notes
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,weights_and_design,survey_design_gate,6,sect6c_hh_w5.dta,pw_w5,household sample weight,31,weights_and_design,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,,,,,,,,,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,weights_and_design,survey_design_gate,7,sect7a_hh_w5.dta,pw_w5,household sample weight,31,weights_and_design,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,,,,,,,,,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,weights_and_design,survey_design_gate,8,sect7b_hh_w5.dta,pw_w5,household sample weight,31,weights_and_design,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,,,,,,,,,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,weights_and_design,survey_design_gate,9,sect8_hh_w5.dta,pw_w5,household sample weight,31,weights_and_design,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,,,,,,,,,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,weights_and_design,survey_design_gate,10,sect9_hh_w5.dta,pw_w5,household sample weight,31,weights_and_design,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,,,,,,,,,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,weights_and_design,survey_design_gate,11,sect10a_hh_w5.dta,pw_w5,household sample weight,31,weights_and_design,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,,,,,,,,,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,weights_and_design,survey_design_gate,12,sect11_hh_w5.dta,pw_w5,household sample weight,31,weights_and_design,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,,,,,,,,,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,consumption_or_income,financial_denominator_gate,1,cons_agg_w5.dta,nonfood_cons2,Non-food consumption,52,consumption_or_income,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,,,,,,,,,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,consumption_or_income,financial_denominator_gate,2,cons_agg_w5.dta,nom_nonfoodcons_aeq,Nominal annual expenditure on nonfood per adult equivalent,45,consumption_or_income,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,,,,,,,,,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,consumption_or_income,financial_denominator_gate,3,cons_agg_w5.dta,nonfood_cons_ann,annual expenditure on nonfood items (selected items),45,consumption_or_income,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,,,,,,,,,,
