column_name,parquet_type,column_origin,present_in_2025_schema,source_label_2025
TFTOTINC,float,census_source,True,"Sum of monthly earnings and income received by family members age 15 and older, as well as SSI payments received by children under age 15"
THTOTINC,float,census_source,True,"Sum of monthly earnings and income received by household members age 15 and older, as well as SSI payments received by children under age 15"
TFINCPOV,float,census_source,True,"Family income-to-poverty ratio in this month, excluding Type 2 individuals"
THINCPOV,float,census_source,True,"Household income-to-poverty ratio in this month, excluding Type 2 individuals"
TFCYINCPOV,float,census_source,True,"Family income-to-poverty ratio in this calendar year, excluding Type 2 individuals"
THCYINCPOV,float,census_source,True,"Household income-to-poverty ratio in this calendar year, excluding Type 2 individuals"
file_year,int64,technical_harmonization,False,
reference_year,int64,technical_harmonization,False,
reference_month,int16,technical_harmonization,False,
reference_date,timestamp[ns],technical_harmonization,False,
state_fips,string,technical_harmonization,False,
person_id,string,technical_harmonization,False,
person_month_key,string,technical_harmonization,False,
EHISPAN,float,census_source,True,Detailed Hispanic origin
RDIRECTANN,float,census_source,True,Annual direct-purchase health insurance  coverage recode
RMCAIDANN,float,census_source,True,Annual Medicaid/Medical Assistance health insurance coverage recode
